model,model_group,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
ResNet50-ImageNet,clean,Pneumothorax,Gender,0.02329849703371545,0.0028896029081147442,0.044516036092328605,0.03142186861319518,0.01654967322679457,0.01654967322679457,0.03142186861319518,0.015409375790765584
ResNet50-ImageNet,clean,Pneumothorax,Age,0.03263392512669128,0.010265248389054123,0.06252841085050215,0.03846217788861184,0.10462466619767286,0.10462466619767286,0.03846217788861184,0.011630780228658523
ResNet50-ImageNet,clean,Pneumothorax,Race,0.06554011406230675,0.02583629007028453,0.12305281227272648,0.12406167579630756,0.13680423190529534,0.13680423190529534,0.12406167579630756,0.021521592859329638
ResNet50-ImageNet,clean,Support Devices,Gender,0.011148491291845808,0.0007883404462717347,0.05861460439780373,0.029844255694958077,0.07670329670329668,0.07670329670329668,0.029844255694958077,0.002699805163915844
ResNet50-ImageNet,clean,Support Devices,Age,0.015977586978061842,0.006631843978462243,0.08368944284668078,0.033634171370902965,0.053168308201865244,0.053168308201865244,0.033634171370902965,0.002760097404804906
ResNet50-ImageNet,clean,Support Devices,Race,0.07740781913033712,0.026897346101097896,0.2383393748740101,0.03991901082629312,0.1575378195096505,0.1575378195096505,0.03991901082629312,0.005249467334605656
DINOv2-base,clean,Atelectasis,Gender,0.0172404692300977,0.002352810104371039,0.13080070776362382,0.029539664848943215,0.009072580645161255,0.009072580645161255,0.029539664848943215,0.01029641803706774
DINOv2-base,clean,Atelectasis,Age,0.09467046385722888,0.03444897596749901,0.2637103147247932,0.13109251057227933,0.15714285714285714,0.15714285714285714,0.13109251057227933,0.00975578084459556
DINOv2-base,clean,Atelectasis,Race,0.1053194325427691,0.02864643726929084,0.22936584216585562,0.032377301373721745,0.23030303030303034,0.23030303030303034,0.032377301373721745,0.008814872271792527
DINOv2-base,clean,Cardiomegaly,Gender,0.01268773863158379,0.0010639824208031612,0.03262532492150957,0.007777002163417257,0.0021786232057225963,0.0021786232057225963,0.007777002163417257,0.0074186951230166
DINOv2-base,clean,Cardiomegaly,Age,0.08446862155011192,0.058354513808573795,0.10901393727005701,0.04171445672547536,0.23728649068322982,0.23728649068322982,0.04171445672547536,0.0071312805078931375
DINOv2-base,clean,Cardiomegaly,Race,0.03587447218672368,0.013507951068918023,0.07752674064075885,0.0615556592880131,0.04015148058584661,0.04015148058584661,0.0615556592880131,0.01507501690854272
DINOv2-base,clean,Consolidation,Gender,0.005871188552174389,0.00030398541025337126,0.02046918107159123,0.023599620235996155,0.01748591384699394,0.01748591384699394,0.023599620235996155,0.00434108008143359
DINOv2-base,clean,Consolidation,Age,0.018899373279169907,0.005942041096860867,0.038387139441177096,0.03032679738562094,0.07235716664288094,0.07235716664288094,0.03032679738562094,0.012221037960140877
DINOv2-base,clean,Consolidation,Race,0.053644142860722166,0.015453675126051423,0.10581795597139745,0.11882797399402567,0.04446476709643099,0.04446476709643099,0.11882797399402567,0.053223622559364456
