model,attribute,disease,mlp_dependence,linear_dependence,mlp_base_auroc,mlp_res_auroc
BiomedCLIP,sex,Cardiomegaly,0.00829934796208076,-0.00028201611679301575,0.8288838870936099,0.8205845391315292
BiomedCLIP,sex,Edema,0.00013516738492869163,-5.123992369859831e-05,0.8742006866385362,0.8740655192536075
BiomedCLIP,sex,Pleural Effusion,0.0007481718474101617,-0.0006430375173962499,0.8814899719172437,0.8807418000698335
BiomedCLIP,sex,Pneumonia,-0.00255035451556318,-0.0009513731327698283,0.7589703040374627,0.7615206585530259
BiomedCLIP,sex,Pneumothorax,0.007942801104695807,0.00020938608129983383,0.6864759078365782,0.6785331067318824
BiomedCLIP,race_black_vs_white,Cardiomegaly,-0.005631912002822426,-0.0002741901160602245,0.8196832977904926,0.8253152097933151
BiomedCLIP,race_black_vs_white,Edema,-0.00231257731958745,0.0008878567552902394,0.8764228757460664,0.8787354530656538
BiomedCLIP,race_black_vs_white,Pleural Effusion,-0.000648925026924374,0.004003987548395482,0.872030509381909,0.8726794344088333
BiomedCLIP,race_black_vs_white,Pneumonia,-0.0035815197463494597,0.0012109153132167094,0.7533600787984671,0.7569415985448166
BiomedCLIP,race_black_vs_white,Pneumothorax,-0.003725208087145604,0.00023708894703799999,0.6797218100895351,0.6834470181766807
CLIP-ViT-B16,sex,Cardiomegaly,0.0005135400125113598,-7.744454068603357e-05,0.7669139108209051,0.7664003708083937
CLIP-ViT-B16,sex,Edema,0.004907017796391133,-6.537507506354512e-05,0.8322447892531387,0.8273377714567476
CLIP-ViT-B16,sex,Pleural Effusion,-0.0038264088846473587,-2.1277185836221513e-05,0.8202514007599199,0.8240778096445672
CLIP-ViT-B16,sex,Pneumonia,0.002087315194296502,-0.0002204894148909453,0.6957055499576578,0.6936182347633613
CLIP-ViT-B16,sex,Pneumothorax,-0.0009962427547761665,-0.000999007535779195,0.6567112432307793,0.6577074859855555
CLIP-ViT-B16,race_black_vs_white,Cardiomegaly,-0.0006687139064283087,-0.0008326707144754586,0.7528065957481636,0.7534753096545919
CLIP-ViT-B16,race_black_vs_white,Edema,-0.0005113402061854844,0.0006468583830712138,0.8440883776451439,0.8445997178513294
CLIP-ViT-B16,race_black_vs_white,Pleural Effusion,0.007157038170448771,0.00457092756867028,0.8222220465902458,0.815065008419797
CLIP-ViT-B16,race_black_vs_white,Pneumonia,-0.012480677839369125,0.0007685726405395332,0.689560461287377,0.7020411391267461
CLIP-ViT-B16,race_black_vs_white,Pneumothorax,0.001565410968732972,-0.0007010068515933554,0.6433438387307117,0.6417784277619787
ConvNeXtV2-Base,sex,Cardiomegaly,-0.0016757575799639657,-0.00023094551976099442,0.7843359538391208,0.7860117114190848
ConvNeXtV2-Base,sex,Edema,0.0006109035730599288,2.6680098201503633e-05,0.8706776474019473,0.8700667438288874
ConvNeXtV2-Base,sex,Pleural Effusion,0.0008966854667290525,-0.0003226850215580779,0.8582709299737377,0.8573742445070086
ConvNeXtV2-Base,sex,Pneumonia,-0.004536491748914129,1.3282494872979278e-05,0.7223711401647399,0.726907631913654
ConvNeXtV2-Base,sex,Pneumothorax,0.0005138345494222207,0.0010437048286623396,0.6669757231031275,0.6664618885537053
ConvNeXtV2-Base,race_black_vs_white,Cardiomegaly,0.0011814381040846644,-7.070256406527253e-05,0.7983684338476509,0.7971869957435662
ConvNeXtV2-Base,race_black_vs_white,Edema,0.0001608247422681952,0.0007037221920779269,0.8720552577319589,0.8718944329896907
ConvNeXtV2-Base,race_black_vs_white,Pleural Effusion,0.0009537448601301124,0.0032721501779855444,0.8513879281819771,0.850434183321847
ConvNeXtV2-Base,race_black_vs_white,Pneumonia,-0.008548842827254544,0.0011825162306149384,0.7291478837291231,0.7376967265563776
ConvNeXtV2-Base,race_black_vs_white,Pneumothorax,-0.007772981925919242,-0.0005105038029206144,0.6748535143860998,0.682626496312019
