model,attribute,attribute_type,disease,auroc_baseline,auroc_residualized,auroc_drop
CheXzero,heart_failure,comorbidity,Pneumonia,0.7926045840546306,0.7882945877182891,0.004309996336341548
CheXzero,heart_failure,comorbidity,Pneumothorax,0.7236052117596459,0.7239256498779026,-0.0003204381182567717
CheXzero,heart_failure,comorbidity,Support Devices,0.7939941187191566,0.789649927097353,0.00434419162180355
CheXzero,atrial_fibrillation,comorbidity,Atelectasis,0.7665786124831884,0.754201571706864,0.0123770407763244
CheXzero,atrial_fibrillation,comorbidity,Cardiomegaly,0.8755736911120735,0.8343393026359137,0.04123438847615979
CheXzero,atrial_fibrillation,comorbidity,Consolidation,0.9152687210443294,0.9092297946864404,0.006038926357889052
CheXzero,atrial_fibrillation,comorbidity,Edema,0.9082061503457104,0.8963171334289968,0.011889016916713624
CheXzero,atrial_fibrillation,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7764498041324218,0.014116803645953357
CheXzero,atrial_fibrillation,comorbidity,Lung Opacity,0.7706535411248028,0.7606316356116488,0.010021905513153961
CheXzero,atrial_fibrillation,comorbidity,Pleural Effusion,0.9246298359907297,0.912675584784821,0.01195425120590865
CheXzero,atrial_fibrillation,comorbidity,Pneumonia,0.7926045840546306,0.7900027165589514,0.0026018674956792553
CheXzero,atrial_fibrillation,comorbidity,Pneumothorax,0.7236052117596459,0.723905927773414,-0.00030071601376813195
CheXzero,atrial_fibrillation,comorbidity,Support Devices,0.7939941187191566,0.7872863742148946,0.0067077445042620365
CheXzero,coronary_artery_disease,comorbidity,Atelectasis,0.7665786124831884,0.7614407111883092,0.005137901294879121
CheXzero,coronary_artery_disease,comorbidity,Cardiomegaly,0.8755736911120735,0.8538029260271032,0.021770765084970334
CheXzero,coronary_artery_disease,comorbidity,Consolidation,0.9152687210443294,0.9143371713182051,0.0009315497261243033
CheXzero,coronary_artery_disease,comorbidity,Edema,0.9082061503457104,0.9014084382613105,0.006797712084399943
CheXzero,coronary_artery_disease,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7861750774509051,0.004391530327470083
CheXzero,coronary_artery_disease,comorbidity,Lung Opacity,0.7706535411248028,0.7674841704685968,0.0031693706562059276
CheXzero,coronary_artery_disease,comorbidity,Pleural Effusion,0.9246298359907297,0.9206434357534947,0.003986400237234955
CheXzero,coronary_artery_disease,comorbidity,Pneumonia,0.7926045840546306,0.792003406786685,0.0006011772679456184
CheXzero,coronary_artery_disease,comorbidity,Pneumothorax,0.7236052117596459,0.7224429899853181,0.0011622217743277874
CheXzero,coronary_artery_disease,comorbidity,Support Devices,0.7939941187191566,0.7941770763234635,-0.00018295760430686592
CheXzero,stroke,comorbidity,Atelectasis,0.7665786124831884,0.765832564367005,0.0007460481161833954
CheXzero,stroke,comorbidity,Cardiomegaly,0.8755736911120735,0.873574245427591,0.001999445684482515
CheXzero,stroke,comorbidity,Consolidation,0.9152687210443294,0.9155822185788277,-0.0003134975344982749
CheXzero,stroke,comorbidity,Edema,0.9082061503457104,0.9061645044204152,0.00204164592529521
CheXzero,stroke,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.788498860639578,0.0020677471387972046
CheXzero,stroke,comorbidity,Lung Opacity,0.7706535411248028,0.7704648659020168,0.00018867522278598337
CheXzero,stroke,comorbidity,Pleural Effusion,0.9246298359907297,0.9241551385612726,0.0004746974294570494
CheXzero,stroke,comorbidity,Pneumonia,0.7926045840546306,0.7922711356833416,0.0003334483712890135
CheXzero,stroke,comorbidity,Pneumothorax,0.7236052117596459,0.7235920329701979,1.3178789447954031e-05
CheXzero,stroke,comorbidity,Support Devices,0.7939941187191566,0.7894164984297891,0.004577620289367479
CheXzero,diabetes,comorbidity,Atelectasis,0.7665786124831884,0.7631065033442497,0.003472109138938695
CheXzero,diabetes,comorbidity,Cardiomegaly,0.8755736911120735,0.8629716308906435,0.012602060221429956
CheXzero,diabetes,comorbidity,Consolidation,0.9152687210443294,0.9158033063804947,-0.0005345853361652386
CheXzero,diabetes,comorbidity,Edema,0.9082061503457104,0.9052080258447107,0.002998124500999677
CheXzero,diabetes,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7885920577617328,0.0019745500166423735
CheXzero,diabetes,comorbidity,Lung Opacity,0.7706535411248028,0.7717869249136571,-0.001133383788854303
CheXzero,diabetes,comorbidity,Pleural Effusion,0.9246298359907297,0.9242221560075694,0.00040767998316026954
CheXzero,diabetes,comorbidity,Pneumonia,0.7926045840546306,0.7930638118773685,-0.0004592278227378843
CheXzero,diabetes,comorbidity,Pneumothorax,0.7236052117596459,0.7185963501757341,0.005008861583911783
CheXzero,diabetes,comorbidity,Support Devices,0.7939941187191566,0.7932931317294751,0.0007009869896814624
CheXzero,hyperlipidemia,comorbidity,Atelectasis,0.7665786124831884,0.7637542443925769,0.0028243680906114843
CheXzero,hyperlipidemia,comorbidity,Cardiomegaly,0.8755736911120735,0.8608629299878217,0.014710761124251848
CheXzero,hyperlipidemia,comorbidity,Consolidation,0.9152687210443294,0.9157471649836668,-0.0004784439393373807
CheXzero,hyperlipidemia,comorbidity,Edema,0.9082061503457104,0.9057605924701577,0.002445557875552673
CheXzero,hyperlipidemia,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7856650536395524,0.004901554138822761
CheXzero,hyperlipidemia,comorbidity,Lung Opacity,0.7706535411248028,0.7688573956423486,0.0017961454824542145
CheXzero,hyperlipidemia,comorbidity,Pleural Effusion,0.9246298359907297,0.9231638720211406,0.0014659639695890903
CheXzero,hyperlipidemia,comorbidity,Pneumonia,0.7926045840546306,0.7927749464888707,-0.0001703624342400678
CheXzero,hyperlipidemia,comorbidity,Pneumothorax,0.7236052117596459,0.7219357448306198,0.0016694669290260311
CheXzero,hyperlipidemia,comorbidity,Support Devices,0.7939941187191566,0.7932976881449081,0.0006964305742485077
CheXzero,obesity,comorbidity,Atelectasis,0.7665786124831884,0.7644984831762229,0.002080129306965439
