model,disease,gap_baseline,gap_race_only,gap_cardiac_only,gap_joint_race_cardiac,red_race_only,red_cardiac_only,red_joint
ConvNeXtV2-Base,Pleural Effusion,0.032717008209275256,0.03273000668289028,0.02959180554624019,0.03098841570048405,-1.2998473615022377e-05,0.003125202663035065,0.0017285925087912046
ConvNeXtV2-Base,Pneumonia,0.08850623436574634,0.08680512457988754,0.08502878614366471,0.08585784927914875,0.001701109785858801,0.003477448222081625,0.0026483850865975933
ConvNeXtV2-Base,Pneumothorax,0.06707404669304617,0.06754244960599542,0.06898353662052292,0.07010608403583085,-0.00046840291294925063,-0.0019094899274767485,-0.003032037342784677
ConvNeXtV2-Base,Support Devices,0.12017459270161901,0.12079594489256862,0.13470234625718103,0.13364066638021854,-0.0006213521909496089,-0.014527753555562017,-0.013466073678599533
RAD-DINO,Atelectasis,0.0910229851375951,0.0932300415008056,0.07797443556871786,0.0794080651656679,-0.0022070563632105022,0.013048549568877243,0.011614919971927207
RAD-DINO,Cardiomegaly,0.026632926768437315,0.025870580201963422,0.029043835413301577,0.026983603916529098,0.0007623465664738927,-0.0024109086448642625,-0.0003506771480917825
RAD-DINO,Consolidation,0.031700147561714465,0.032710904537343266,0.036764949089665544,0.035599811556364935,-0.0010107569756288015,-0.005064801527951079,-0.0038996639946504708
RAD-DINO,Edema,0.022733187692072776,0.02290274456621344,0.031199564881718933,0.0309486496108623,-0.0001695568741406639,-0.008466377189646157,-0.008215461918789524
RAD-DINO,Enlarged Cardiomediastinum,0.06120203421174297,0.05701340730466953,0.10788872152634643,0.10683691401088746,0.004188626907073445,-0.04668668731460346,-0.04563487979914449
RAD-DINO,Lung Opacity,0.12900230211198016,0.1292872239684587,0.14693312284129723,0.14713807303639215,-0.0002849218564785483,-0.017930820729317065,-0.018135770924411987
RAD-DINO,Pleural Effusion,0.015216506611858582,0.015270984290502665,0.021700072962437478,0.022180554535195518,-5.4477678644082594e-05,-0.006483566350578895,-0.006964047923336936
RAD-DINO,Pneumonia,0.03378134405167632,0.03236728590274518,0.03371203559668323,0.03340135180109649,0.001414058148931141,6.930845499308891e-05,0.0003799922505798303
RAD-DINO,Pneumothorax,0.06038796342096742,0.053950899707597144,0.061699888802787095,0.056939351628826795,0.006437063713370272,-0.0013119253818196785,0.003448611792140621
RAD-DINO,Support Devices,0.11208201827933717,0.11173474309823239,0.11018924772966021,0.11016444322446461,0.00034727518110477806,0.0018927705496769587,0.0019175750548725556
CheXzero,Atelectasis,0.12177233296419343,0.10956187707641196,0.114606787009492,0.1136673918533303,0.012210455887781468,0.007165545954701424,0.008104941110863129
CheXzero,Cardiomegaly,0.08158063484194866,0.07980483492182544,0.07924292573340275,0.0829733168181247,0.0017757999201232222,0.0023377091085459156,-0.0013926819761760356
CheXzero,Consolidation,0.028727857626497322,0.02688981763741749,0.036505301948400626,0.0332469321238249,0.0018380399890798316,-0.007777444321903304,-0.00451907449732758
CheXzero,Edema,0.017942762648995858,0.019087264269041948,0.031237906576078278,0.031077594775773765,-0.00114450162004609,-0.01329514392708242,-0.013134832126777907
CheXzero,Enlarged Cardiomediastinum,0.0709338881183541,0.06905455386037906,0.10315071659731856,0.10815533980582526,0.0018793342579750405,-0.032216828478964454,-0.03722145168747115
CheXzero,Lung Opacity,0.07163076022482606,0.07146315364211575,0.09844065808257108,0.09712386279581442,0.00016760658271031126,-0.026809897857745013,-0.025493102570988357
CheXzero,Pleural Effusion,0.02586467013026217,0.024205069761611964,0.023231461849916202,0.022551758393256405,0.0016596003686502048,0.0026332082803459667,0.0033129117370057637
CheXzero,Pneumonia,0.02877539428235454,0.028578139670636826,0.03065964090554274,0.029741198758591936,0.00019725461171771208,-0.0018842466231882016,-0.0009658044762373974
CheXzero,Pneumothorax,0.08490725371813712,0.0910406815274104,0.09132609288761306,0.09944550017093345,-0.006133427809273284,-0.006418839169475943,-0.014538246452796333
CheXzero,Support Devices,0.05648931666300472,0.05834277215406569,0.04998490224014729,0.051367674653610695,-0.0018534554910609735,0.00650441442285743,0.005121642009394023
CheSS-ResNet50,Atelectasis,0.1241025286083427,0.11940868401624216,0.12956349206349216,0.12636004983388716,0.004693844592100538,-0.005460963455149459,-0.0022575212255444566
CheSS-ResNet50,Cardiomegaly,0.07772334737234066,0.0763145227338623,0.05387916181860197,0.05483832992780302,0.0014088246384783565,0.023844185553738684,0.022885017444537636
CheSS-ResNet50,Consolidation,0.025250693884859787,0.03246776792908945,0.02605515265466929,0.03544431014414895,-0.0072170740442296655,-0.0008044587698095018,-0.010193616259289162
CheSS-ResNet50,Edema,0.04448320281746421,0.04498723647235481,0.059018641705812946,0.05849839174486493,-0.000504033654890601,-0.01453543888834874,-0.014015188927400724
CheSS-ResNet50,Enlarged Cardiomediastinum,0.08713981819142746,0.08979143544210133,0.14698027324137197,0.14983741609851498,-0.0026516172506738656,-0.05984045504994451,-0.06269759790708751
CheSS-ResNet50,Lung Opacity,0.14564544014349878,0.14984509448083871,0.14386569821177075,0.1455787803359041,-0.004199654337339931,0.0017797419317280294,6.665980759468226e-05
CheSS-ResNet50,Pleural Effusion,0.028078748950574717,0.02984529198966057,0.03832974497564556,0.03984305384002407,-0.001766543039085855,-0.010250996025070847,-0.01176430488944935
CheSS-ResNet50,Pneumonia,0.05596893660496505,0.05598383897332926,0.05125270823328809,0.05043236866402023,-1.4902368364211327e-05,0.004716228371676956,0.005536567940944814
CheSS-ResNet50,Pneumothorax,0.09909796845946506,0.09904168008178971,0.10039728638992085,0.10435529809277977,5.628837767535089e-05,-0.00129931793045579,-0.005257329633314711
CheSS-ResNet50,Support Devices,0.07032112315984651,0.0686154703468963,0.06455100928468327,0.06505814990587167,0.001705652812950209,0.005770113875163241,0.005262973253974845
