model,disease,race_group,n,n_pos,auroc
ConvNeXtV2-Base,Enlarged Cardiomediastinum,White,1346,816,0.7264335923048464
ConvNeXtV2-Base,Enlarged Cardiomediastinum,Black,223,120,0.7336569579288026
ConvNeXtV2-Base,Enlarged Cardiomediastinum,Asian,71,50,0.7
ConvNeXtV2-Base,Enlarged Cardiomediastinum,Other,194,106,0.7412092624356775
ConvNeXtV2-Base,Lung Opacity,White,5827,5535,0.681857049164099
ConvNeXtV2-Base,Lung Opacity,Black,1098,1018,0.6455058939096266
ConvNeXtV2-Base,Lung Opacity,Asian,293,278,0.7868105515587529
ConvNeXtV2-Base,Lung Opacity,Other,681,628,0.7349477226294916
ConvNeXtV2-Base,Pleural Effusion,White,9135,6451,0.8674048848351472
ConvNeXtV2-Base,Pleural Effusion,Black,1390,804,0.8462296028390471
ConvNeXtV2-Base,Pleural Effusion,Asian,387,266,0.8356738954825079
ConvNeXtV2-Base,Pleural Effusion,Other,1046,635,0.8683909036917832
ConvNeXtV2-Base,Pneumonia,White,3927,1635,0.740965250759189
ConvNeXtV2-Base,Pneumonia,Black,872,324,0.7396706317022619
ConvNeXtV2-Base,Pneumonia,Asian,227,105,0.6524590163934426
ConvNeXtV2-Base,Pneumonia,Other,541,205,0.7267421602787456
ConvNeXtV2-Base,Pneumothorax,White,5861,1163,0.6881856753225883
ConvNeXtV2-Base,Pneumothorax,Black,895,166,0.7552597220156345
ConvNeXtV2-Base,Pneumothorax,Asian,289,61,0.7255536381938453
ConvNeXtV2-Base,Pneumothorax,Other,653,100,0.728499095840868
ConvNeXtV2-Base,Support Devices,White,8281,7943,0.723979731325338
ConvNeXtV2-Base,Support Devices,Black,1188,1127,0.7213114754098361
ConvNeXtV2-Base,Support Devices,Asian,359,340,0.8414860681114551
ConvNeXtV2-Base,Support Devices,Other,878,825,0.7658776443682105
