model,finding,dimension,group,n,auroc,ece,sensitivity,specificity,fpr,fnr
ResNet50-ImageNet,Pneumonia,Gender,Female,2800,0.7162272218263259,0.054129799336067916,0.5913120567375887,0.7212918660287081,0.2787081339712919,0.4086879432624113
ResNet50-ImageNet,Pneumonia,Gender,Male,3183,0.7291127998192837,0.053161863679039245,0.6359516616314199,0.7009144701452393,0.29908552985476067,0.3640483383685801
ResNet50-ImageNet,Pneumonia,Age,<50,1330,0.7219927219059057,0.051951316174119855,0.5270541082164328,0.7833935018050542,0.21660649819494582,0.47294589178356716
ResNet50-ImageNet,Pneumonia,Age,50-70,2601,0.7313759978352051,0.042425287695644666,0.6057416267942584,0.7397172236503856,0.2602827763496144,0.39425837320574164
ResNet50-ImageNet,Pneumonia,Age,70+,2052,0.7098431579433782,0.0698453743466586,0.6751101321585903,0.618006993006993,0.381993006993007,0.3248898678414097
ResNet50-ImageNet,Pneumonia,Race,White,3927,0.7305292708049805,0.046606936268769134,0.636697247706422,0.7111692844677138,0.28883071553228623,0.363302752293578
ResNet50-ImageNet,Pneumonia,Race,Black,872,0.7152834099306119,0.07147713807356804,0.6172839506172839,0.6824817518248175,0.3175182481751825,0.3827160493827161
ResNet50-ImageNet,Pneumonia,Race,Asian,227,0.6280249804839968,0.1653350699091416,0.5428571428571428,0.5819672131147541,0.4180327868852459,0.4571428571428572
ResNet50-ImageNet,Pneumonia,Race,Other,541,0.719904181184669,0.05567939917831805,0.551219512195122,0.7321428571428571,0.2678571428571429,0.448780487804878
ResNet50-ImageNet,Pneumothorax,Gender,Female,3465,0.7059030077070755,0.04616144626661884,0.662992125984252,0.6279151943462897,0.37208480565371027,0.33700787401574805
ResNet50-ImageNet,Pneumothorax,Gender,Male,4825,0.6566189094893033,0.06490782474513147,0.635814889336016,0.5985382406682328,0.4014617593317672,0.36418511066398396
ResNet50-ImageNet,Pneumothorax,Age,<50,1761,0.6957345564488421,0.06995283954309639,0.6598639455782312,0.6189393939393939,0.3810606060606061,0.34013605442176875
ResNet50-ImageNet,Pneumothorax,Age,50-70,3471,0.6719562066806486,0.05681788345922506,0.6058732612055642,0.6384560906515581,0.36154390934844194,0.3941267387944358
ResNet50-ImageNet,Pneumothorax,Age,70+,3058,0.6731269878688136,0.06108318095305093,0.6839186691312384,0.576082638061184,0.423917361938816,0.31608133086876156
ResNet50-ImageNet,Pneumothorax,Race,White,5861,0.6772924721996187,0.054567664647286976,0.6586414445399829,0.6015325670498084,0.3984674329501916,0.34135855546001714
ResNet50-ImageNet,Pneumothorax,Race,Black,895,0.6853339283058159,0.07706072293909527,0.6024096385542169,0.6213991769547325,0.37860082304526754,0.3975903614457831
ResNet50-ImageNet,Pneumothorax,Race,Asian,289,0.6555939027897613,0.09966149046962225,0.6557377049180327,0.5482456140350878,0.45175438596491224,0.34426229508196726
ResNet50-ImageNet,Pneumothorax,Race,Other,653,0.7175949367088608,0.03609810105056358,0.68,0.6690777576853526,0.3309222423146474,0.31999999999999995
ResNet50-ImageNet,Support Devices,Gender,Female,4742,0.6893917137875718,0.025797273987132226,0.7813398187043997,0.5251141552511416,0.4748858447488584,0.21866018129560028
ResNet50-ImageNet,Support Devices,Gender,Male,6915,0.7064351633761904,0.01903425735344149,0.7828450619148294,0.5255972696245734,0.4744027303754266,0.2171549380851706
ResNet50-ImageNet,Support Devices,Age,<50,2244,0.7394885760769612,0.02102840373771059,0.7625592417061612,0.6119402985074627,0.3880597014925373,0.23744075829383882
ResNet50-ImageNet,Support Devices,Age,50-70,5077,0.6944428846837742,0.025670865932846038,0.7801111797405806,0.5136363636363637,0.48636363636363633,0.21988882025941936
ResNet50-ImageNet,Support Devices,Age,70+,4336,0.6680881167780599,0.01832039892207562,0.7946385830540929,0.46835443037974683,0.5316455696202531,0.20536141694590715
ResNet50-ImageNet,Support Devices,Race,White,8281,0.6864806718281959,0.023589319816978198,0.7765327961727307,0.5059171597633136,0.49408284023668636,0.22346720382726926
ResNet50-ImageNet,Support Devices,Race,Black,1188,0.7348102462652916,0.024207706054987184,0.7817213842058562,0.6065573770491803,0.39344262295081966,0.21827861579414376
ResNet50-ImageNet,Support Devices,Race,Asian,359,0.7386996904024767,0.023911099628543375,0.7764705882352941,0.631578947368421,0.368421052631579,0.22352941176470587
ResNet50-ImageNet,Support Devices,Race,Other,878,0.7120411663807891,0.024043255500930144,0.7915151515151515,0.5471698113207547,0.4528301886792453,0.2084848484848485
DINOv2-base,Atelectasis,Gender,Female,3185,0.6743846629560916,0.01231181461960524,0.7298701298701299,0.5333333333333333,0.4666666666666667,0.2701298701298701
DINOv2-base,Atelectasis,Gender,Male,4254,0.7141564543472996,0.006989862053422416,0.7243884717849358,0.632,0.368,0.2756115282150642
DINOv2-base,Atelectasis,Age,<50,1175,0.763291724456773,0.009367660459406452,0.6672550750220653,0.7619047619047619,0.23809523809523814,0.33274492497793473
DINOv2-base,Atelectasis,Age,50-70,3089,0.7076330654047346,0.009820196147090888,0.6962663975782039,0.6120689655172413,0.3879310344827587,0.30373360242179614
DINOv2-base,Atelectasis,Age,70+,3175,0.6243330826798439,0.00845922669309191,0.7776345472123751,0.4444444444444444,0.5555555555555556,0.22236545278762487
DINOv2-base,Atelectasis,Race,White,5340,0.6967207511462319,0.009620695419175327,0.7420351419192894,0.577639751552795,0.422360248447205,0.25796485808071057
DINOv2-base,Atelectasis,Race,Black,826,0.7234611036892404,0.018449100063196243,0.6425855513307985,0.6486486486486487,0.3513513513513513,0.35741444866920147
DINOv2-base,Atelectasis,Race,Asian,197,0.5364583333333334,0.016137479075651325,0.6822916666666666,0.6,0.4,0.31770833333333337
DINOv2-base,Atelectasis,Race,Other,620,0.6688815060908084,0.005079222829402448,0.6910299003322259,0.5555555555555556,0.4444444444444444,0.3089700996677741
DINOv2-base,Cardiomegaly,Gender,Female,4246,0.8166013231250213,0.02469277204514427,0.7507218479307026,0.7307351638618246,0.2692648361381754,0.24927815206929738
DINOv2-base,Cardiomegaly,Gender,Male,5177,0.8106816658890572,0.0221417970848246,0.7254593175853018,0.7505486466715435,0.24945135332845647,0.2745406824146982
DINOv2-base,Cardiomegaly,Age,<50,1629,0.8261655811296622,0.044415168807510154,0.6159496327387198,0.8461538461538461,0.15384615384615385,0.38405036726128017
DINOv2-base,Cardiomegaly,Age,50-70,3968,0.8104013062420455,0.0314708556352103,0.7188055456807678,0.7480519480519481,0.2519480519480519,0.2811944543192322
DINOv2-base,Cardiomegaly,Age,70+,3826,0.7728348076772127,0.027021468352525606,0.7893071812717495,0.6240601503759399,0.37593984962406013,0.21069281872825052
DINOv2-base,Cardiomegaly,Race,White,6459,0.8080629290845863,0.01837411710594911,0.7371835111948106,0.7345238095238096,0.2654761904761904,0.2628164888051894
DINOv2-base,Cardiomegaly,Race,Black,1333,0.8254994009153228,0.028724450547772517,0.7670837343599615,0.7414965986394558,0.25850340136054417,0.23291626564003853
DINOv2-base,Cardiomegaly,Race,Asian,281,0.7728996326578979,0.09473193722277164,0.5824742268041238,0.7931034482758621,0.2068965517241379,0.41752577319587625
DINOv2-base,Cardiomegaly,Race,Other,748,0.8082537051902874,0.029921926318406473,0.718336483931947,0.730593607305936,0.26940639269406397,0.28166351606805295
DINOv2-base,Consolidation,Gender,Female,1322,0.8929378531073446,0.019651781548973617,0.76775956284153,0.8711864406779661,0.12881355932203387,0.23224043715846998
DINOv2-base,Consolidation,Gender,Male,1566,0.8720701882781393,0.039506774201157294,0.7787971457696228,0.8051282051282052,0.19487179487179485,0.22120285423037722
DINOv2-base,Consolidation,Age,<50,589,0.8770569364628771,0.043568189032375144,0.7326732673267327,0.8811188811188811,0.11888111888111885,0.26732673267326734
DINOv2-base,Consolidation,Age,50-70,1206,0.8761596743699565,0.04140976946793946,0.7652050919377652,0.843687374749499,0.15631262525050105,0.2347949080622348
