model,finding,dimension,group,n,auroc,ece,sensitivity,specificity,fpr,fnr
DINOv2-base,Support Devices,Gender,Male,6915,0.7632228078295227,0.008205204730467168,0.7517366354575656,0.6484641638225256,0.3515358361774744,0.24826336454243436
DINOv2-base,Support Devices,Age,<50,2244,0.7907087783829667,0.008742633396449017,0.7336492890995261,0.7238805970149254,0.27611940298507465,0.2663507109004739
DINOv2-base,Support Devices,Age,50-70,5077,0.7299043554756957,0.012391237590204735,0.7420218241712991,0.5954545454545455,0.40454545454545454,0.25797817582870086
DINOv2-base,Support Devices,Age,70+,4336,0.7267210402894002,0.012963714311498701,0.7549066539013882,0.5949367088607594,0.40506329113924056,0.24509334609861178
DINOv2-base,Support Devices,Race,White,8281,0.7424128423895998,0.011731864421103329,0.737504721138109,0.6331360946745562,0.3668639053254438,0.26249527886189095
DINOv2-base,Support Devices,Race,Black,1188,0.701034226948085,0.016205729409286305,0.7204968944099379,0.5737704918032787,0.42622950819672134,0.2795031055900621
DINOv2-base,Support Devices,Race,Asian,359,0.7919504643962849,0.01789056647329277,0.6794117647058824,0.7368421052631579,0.26315789473684215,0.3205882352941176
DINOv2-base,Support Devices,Race,Other,878,0.7448370497427103,0.014981116958907002,0.776969696969697,0.6226415094339622,0.37735849056603776,0.22303030303030302
BiomedCLIP,Atelectasis,Gender,Female,3185,0.7227767470624613,0.004816071847265263,0.5925324675324676,0.780952380952381,0.21904761904761905,0.4074675324675324
BiomedCLIP,Atelectasis,Gender,Male,4254,0.6979607653184791,0.002783509404154289,0.5328166626301768,0.768,0.23199999999999998,0.4671833373698232
BiomedCLIP,Atelectasis,Age,<50,1175,0.7679569621317194,0.0019122866467960497,0.502206531332745,0.9047619047619048,0.09523809523809523,0.49779346866725505
BiomedCLIP,Atelectasis,Age,50-70,3089,0.695924237679344,0.0061188586911901125,0.5418768920282543,0.7413793103448276,0.2586206896551724,0.4581231079717457
BiomedCLIP,Atelectasis,Age,70+,3175,0.678451856626204,0.004783560331353777,0.5945858846277796,0.75,0.25,0.4054141153722204
BiomedCLIP,Atelectasis,Race,White,5340,0.7120778010575437,3.6518339057353176e-05,0.5632361459741263,0.7888198757763976,0.21118012422360244,0.4367638540258737
BiomedCLIP,Atelectasis,Race,Black,826,0.7207892302949337,0.012523781326192703,0.5171102661596958,0.8108108108108109,0.18918918918918914,0.4828897338403042
BiomedCLIP,Atelectasis,Race,Asian,197,0.49583333333333335,0.005696856994454946,0.6041666666666666,0.4,0.6,0.39583333333333337
BiomedCLIP,Atelectasis,Race,Other,620,0.6900147655961609,0.0022241461632896376,0.5332225913621262,0.7222222222222222,0.2777777777777778,0.46677740863787376
BiomedCLIP,Cardiomegaly,Gender,Female,4246,0.8517225887465889,0.022753718219706964,0.8004491498235483,0.7422497785651019,0.2577502214348981,0.1995508501764517
BiomedCLIP,Cardiomegaly,Gender,Male,5177,0.8425893818868837,0.009767218840608006,0.7614173228346457,0.7600585223116313,0.2399414776883687,0.2385826771653543
BiomedCLIP,Cardiomegaly,Age,<50,1629,0.8555635582433547,0.0639275753387174,0.7156348373557188,0.8150887573964497,0.1849112426035503,0.28436516264428124
BiomedCLIP,Cardiomegaly,Age,50-70,3968,0.8437452581782479,0.021009878468934373,0.7536437966583719,0.7740259740259741,0.22597402597402594,0.2463562033416281
BiomedCLIP,Cardiomegaly,Age,70+,3826,0.8186202615047584,0.020317956158889334,0.8206263840556786,0.649624060150376,0.350375939849624,0.17937361594432144
BiomedCLIP,Cardiomegaly,Race,White,6459,0.8421027262128956,0.016835375843922955,0.7796610169491526,0.7416666666666667,0.2583333333333333,0.22033898305084743
BiomedCLIP,Cardiomegaly,Race,Black,1333,0.8709807310797274,0.02622554719501838,0.8200192492781521,0.7857142857142857,0.2142857142857143,0.17998075072184794
BiomedCLIP,Cardiomegaly,Race,Asian,281,0.8102855788600545,0.048495876275994186,0.6958762886597938,0.8045977011494253,0.1954022988505747,0.3041237113402062
BiomedCLIP,Cardiomegaly,Race,Other,748,0.8555731068355044,0.04314694869368851,0.7410207939508506,0.7899543378995434,0.2100456621004566,0.25897920604914937
BiomedCLIP,Consolidation,Gender,Female,1322,0.9076248031860703,0.025158899375370657,0.8415300546448088,0.8338983050847457,0.16610169491525428,0.1584699453551912
BiomedCLIP,Consolidation,Gender,Male,1566,0.8913649947289091,0.02206878580899423,0.8532110091743119,0.7897435897435897,0.2102564102564103,0.14678899082568808
BiomedCLIP,Consolidation,Age,<50,589,0.8944702162523944,0.033390558340622406,0.8250825082508251,0.8531468531468531,0.14685314685314688,0.17491749174917492
BiomedCLIP,Consolidation,Age,50-70,1206,0.9117754603974568,0.026766473759176807,0.8486562942008486,0.8316633266533067,0.16833667334669333,0.15134370579915135
BiomedCLIP,Consolidation,Age,70+,1093,0.8825801510012037,0.018018774855983702,0.8577524893314367,0.7564102564102564,0.2435897435897436,0.14224751066856334
BiomedCLIP,Consolidation,Race,White,1925,0.8917257403358263,0.017155491517948703,0.8496302382908792,0.786723163841808,0.21327683615819204,0.15036976170912075
BiomedCLIP,Consolidation,Race,Black,419,0.888538812785388,0.049093896296483044,0.84,0.8401826484018264,0.15981735159817356,0.16000000000000003
BiomedCLIP,Consolidation,Race,Asian,106,0.8901143790849674,0.06088497076798918,0.875,0.7058823529411765,0.2941176470588235,0.125
BiomedCLIP,Consolidation,Race,Other,236,0.9053888768976186,0.06315657871146464,0.7610619469026548,0.9105691056910569,0.08943089430894313,0.23893805309734517
BiomedCLIP,Edema,Gender,Female,3807,0.8924354323659879,0.014309355514781913,0.8292448292448292,0.8009259259259259,0.19907407407407407,0.17075517075517077
BiomedCLIP,Edema,Gender,Male,4454,0.886448073337527,0.01742662747920835,0.8246364414029085,0.7892249527410208,0.21077504725897922,0.17536355859709152
BiomedCLIP,Edema,Age,<50,1290,0.9085851564656642,0.04203879592912184,0.8235294117647058,0.8348623853211009,0.1651376146788991,0.17647058823529416
BiomedCLIP,Edema,Age,50-70,3485,0.8990815954684047,0.020841932946512605,0.8233970753655793,0.8125366139425894,0.18746338605741064,0.17660292463442073
BiomedCLIP,Edema,Age,70+,3486,0.8651105762868864,0.0252474869012959,0.8304924242424242,0.7496360989810772,0.2503639010189228,0.1695075757575758
BiomedCLIP,Edema,Race,White,5718,0.8884787053465001,0.01906988784393739,0.8297668476525072,0.7939698492462312,0.20603015075376885,0.1702331523474928
BiomedCLIP,Edema,Race,Black,1093,0.8878462105227904,0.0254821684529875,0.827027027027027,0.7955390334572491,0.20446096654275092,0.17297297297297298
BiomedCLIP,Edema,Race,Asian,228,0.8738738738738739,0.0598292646820979,0.8034188034188035,0.7567567567567568,0.2432432432432432,0.19658119658119655
BiomedCLIP,Edema,Race,Other,685,0.8711735786354214,0.0297241257219661,0.768025078369906,0.7978142076502732,0.20218579234972678,0.23197492163009403
BiomedCLIP,Enlarged Cardiomediastinum,Gender,Female,882,0.8104024674316279,0.050706935740548326,0.75,0.7716763005780347,0.2283236994219653,0.25
BiomedCLIP,Enlarged Cardiomediastinum,Gender,Male,1124,0.7861058677379282,0.05385291687270318,0.7543035993740219,0.7278350515463917,0.2721649484536083,0.24569640062597808
BiomedCLIP,Enlarged Cardiomediastinum,Age,<50,483,0.7371403962101637,0.08401612383202625,0.5911111111111111,0.810077519379845,0.18992248062015504,0.40888888888888886
BiomedCLIP,Enlarged Cardiomediastinum,Age,50-70,891,0.8303565891472868,0.05236868921731763,0.7674418604651163,0.7946666666666666,0.20533333333333337,0.2325581395348837
BiomedCLIP,Enlarged Cardiomediastinum,Age,70+,632,0.7473351021738119,0.058897979702052475,0.8179723502304147,0.5707070707070707,0.4292929292929293,0.1820276497695853
BiomedCLIP,Enlarged Cardiomediastinum,Race,White,1346,0.7903509988901221,0.04714105033345703,0.7659313725490197,0.7264150943396226,0.2735849056603774,0.23406862745098034
BiomedCLIP,Enlarged Cardiomediastinum,Race,Black,223,0.7800161812297735,0.05386205803987488,0.7,0.7766990291262136,0.22330097087378642,0.30000000000000004
BiomedCLIP,Enlarged Cardiomediastinum,Race,Asian,71,0.7761904761904762,0.15350547263902686,0.76,0.7142857142857143,0.2857142857142857,0.24
BiomedCLIP,Enlarged Cardiomediastinum,Race,Other,194,0.7969554030874786,0.043065299339956516,0.6792452830188679,0.7840909090909091,0.21590909090909094,0.3207547169811321
BiomedCLIP,Lung Opacity,Gender,Female,3716,0.7673495962576875,0.006184504741664421,0.6623044096728308,0.746268656716418,0.25373134328358204,0.3376955903271692
BiomedCLIP,Lung Opacity,Gender,Male,4738,0.7494536921427329,0.006648655217640179,0.6462295815618707,0.758364312267658,0.241635687732342,0.3537704184381293
BiomedCLIP,Lung Opacity,Age,<50,1454,0.757337535809618,0.02176038817642321,0.574755822689707,0.8130081300813008,0.1869918699186992,0.42524417731029296
BiomedCLIP,Lung Opacity,Age,50-70,3409,0.7650842601954837,0.003921626937106467,0.6362790697674419,0.782608695652174,0.21739130434782605,0.36372093023255814
BiomedCLIP,Lung Opacity,Age,70+,3591,0.7334509739353288,0.00603126203331363,0.6998249708284714,0.6748466257668712,0.32515337423312884,0.3001750291715286
BiomedCLIP,Lung Opacity,Race,White,5827,0.7635377609483858,0.0032008463963316067,0.6673893405600723,0.7397260273972602,0.26027397260273977,0.33261065943992774
BiomedCLIP,Lung Opacity,Race,Black,1098,0.7230108055009823,0.01990089249692665,0.6051080550098232,0.725,0.275,0.39489194499017677
BiomedCLIP,Lung Opacity,Race,Asian,293,0.8112709832134292,0.010216254877687143,0.6942446043165468,0.8,0.19999999999999996,0.3057553956834532
BiomedCLIP,Lung Opacity,Race,Other,681,0.7444718182910708,0.022666237285146114,0.5939490445859873,0.8113207547169812,0.18867924528301883,0.4060509554140127
BiomedCLIP,Pleural Effusion,Gender,Female,5712,0.898128143902159,0.019992355081454374,0.8697662471101978,0.7647058823529411,0.23529411764705888,0.1302337528898022
BiomedCLIP,Pleural Effusion,Gender,Male,6990,0.8842247083868919,0.015540621515213428,0.8223489649345163,0.7788120567375887,0.2211879432624113,0.17765103506548374
BiomedCLIP,Pleural Effusion,Age,<50,2081,0.9024851306687591,0.030102641435296146,0.794280442804428,0.8686058174523571,0.1313941825476429,0.205719557195572
BiomedCLIP,Pleural Effusion,Age,50-70,5288,0.8877287547677145,0.014586847113526077,0.8287812041116006,0.7769516728624535,0.22304832713754652,0.1712187958883994
BiomedCLIP,Pleural Effusion,Age,70+,5333,0.8682902216622749,0.024118960346891143,0.8690188496858385,0.6853556485355649,0.31464435146443515,0.13098115031416147
BiomedCLIP,Pleural Effusion,Race,White,9135,0.8901449214426488,0.008227865653228719,0.8505658037513564,0.7645305514157973,0.2354694485842027,0.14943419624864362
BiomedCLIP,Pleural Effusion,Race,Black,1390,0.8617429066272732,0.045011107204599804,0.7848258706467661,0.7747440273037542,0.22525597269624575,0.21517412935323388
BiomedCLIP,Pleural Effusion,Race,Asian,387,0.8756912943515814,0.042064154242153984,0.8609022556390977,0.7520661157024794,0.2479338842975206,0.13909774436090228
BiomedCLIP,Pleural Effusion,Race,Other,1046,0.90301358315612,0.04088898684922539,0.8251968503937008,0.8150851581508516,0.18491484184914841,0.17480314960629917
BiomedCLIP,Pneumonia,Gender,Female,2800,0.7645884234280091,0.016683504918732862,0.5762411347517731,0.8157894736842105,0.1842105263157895,0.4237588652482269
BiomedCLIP,Pneumonia,Gender,Male,3183,0.7764789242827821,0.022705507355654617,0.6261329305135952,0.778375470683163,0.22162452931683696,0.3738670694864048
BiomedCLIP,Pneumonia,Age,<50,1330,0.7839023413855388,0.02414827913602075,0.5671342685370742,0.8628158844765343,0.13718411552346566,0.43286573146292584
BiomedCLIP,Pneumonia,Age,50-70,2601,0.7807597692525308,0.028193055568925898,0.5933014354066986,0.8020565552699229,0.19794344473007708,0.40669856459330145
BiomedCLIP,Pneumonia,Age,70+,2052,0.7425795570068697,0.02992203880934247,0.6343612334801763,0.7395104895104895,0.2604895104895105,0.36563876651982374
BiomedCLIP,Pneumonia,Race,White,3927,0.7651981896878384,0.02117201117656256,0.618960244648318,0.7766143106457243,0.22338568935427572,0.381039755351682
BiomedCLIP,Pneumonia,Race,Black,872,0.7866991078669912,0.03731517496146391,0.5771604938271605,0.8357664233576643,0.16423357664233573,0.4228395061728395
BiomedCLIP,Pneumonia,Race,Asian,227,0.7405152224824356,0.10074040133516475,0.6095238095238096,0.7213114754098361,0.2786885245901639,0.3904761904761904
BiomedCLIP,Pneumonia,Race,Other,541,0.7823315911730545,0.03050649049392968,0.5463414634146342,0.8422619047619048,0.15773809523809523,0.4536585365853658
BiomedCLIP,Pneumothorax,Gender,Female,3465,0.704090592916168,0.025684467095907094,0.521259842519685,0.7568904593639576,0.2431095406360424,0.47874015748031495
BiomedCLIP,Pneumothorax,Gender,Male,4825,0.6952169818703398,0.021254054308761226,0.5492957746478874,0.7522839989558862,0.24771600104411384,0.45070422535211263
BiomedCLIP,Pneumothorax,Age,<50,1761,0.72432831718546,0.05990291508706753,0.5714285714285714,0.7674242424242425,0.23257575757575755,0.4285714285714286
BiomedCLIP,Pneumothorax,Age,50-70,3471,0.7047689050794471,0.021002055600023082,0.5100463678516228,0.7878895184135978,0.21211048158640222,0.48995363214837717
BiomedCLIP,Pneumothorax,Age,70+,3058,0.6771425654899732,0.030081646045144267,0.5452865064695009,0.709574890742948,0.290425109257052,0.45471349353049906
BiomedCLIP,Pneumothorax,Race,White,5861,0.6959277598231552,0.020512348897343297,0.5434221840068788,0.7507449978714347,0.24925500212856533,0.4565778159931212
BiomedCLIP,Pneumothorax,Race,Black,895,0.7491943080965837,0.02259532058854641,0.5843373493975904,0.7654320987654321,0.23456790123456794,0.4156626506024096
BiomedCLIP,Pneumothorax,Race,Asian,289,0.7476272648835203,0.06418593943840965,0.7213114754098361,0.6008771929824561,0.3991228070175439,0.2786885245901639
BiomedCLIP,Pneumothorax,Race,Other,653,0.7085714285714286,0.01849445664585298,0.46,0.8264014466546112,0.17359855334538876,0.54
BiomedCLIP,Support Devices,Gender,Female,4742,0.7647700186868334,0.004719110416096989,0.6022551403935441,0.7899543378995434,0.2100456621004566,0.3977448596064559
BiomedCLIP,Support Devices,Gender,Male,6915,0.7614101510839346,0.00409154275311806,0.6375717305949864,0.7713310580204779,0.22866894197952214,0.3624282694050136
BiomedCLIP,Support Devices,Age,<50,2244,0.7944259743934357,0.00798934612751186,0.6175355450236967,0.7985074626865671,0.20149253731343286,0.3824644549763033
BiomedCLIP,Support Devices,Age,50-70,5077,0.7618264173545211,0.004786931244238667,0.6304303067737287,0.7818181818181819,0.21818181818181814,0.3695696932262713
BiomedCLIP,Support Devices,Age,70+,4336,0.737023650102102,0.00818602746632024,0.6177596936333174,0.759493670886076,0.240506329113924,0.3822403063666826
BiomedCLIP,Support Devices,Race,White,8281,0.7466702474062608,0.007212332566644255,0.6118594989298753,0.7692307692307693,0.23076923076923073,0.38814050107012465
BiomedCLIP,Support Devices,Race,Black,1188,0.7762666007243951,0.0022411164263154305,0.6033717834960071,0.7704918032786885,0.2295081967213115,0.39662821650399294
BiomedCLIP,Support Devices,Race,Asian,359,0.8461300309597523,0.01859854474609124,0.5117647058823529,1.0,0.0,0.4882352941176471
BiomedCLIP,Support Devices,Race,Other,878,0.7544654088050315,0.012685170332264802,0.6424242424242425,0.7735849056603774,0.2264150943396226,0.35757575757575755
XRV-DenseNet-nih,Atelectasis,Gender,Female,3185,0.6444186765615336,0.003952903637961951,0.6944805194805195,0.5714285714285714,0.4285714285714286,0.3055194805194805
XRV-DenseNet-nih,Atelectasis,Gender,Male,4254,0.6748365221603294,0.004065312517514288,0.6563332526035359,0.632,0.368,0.3436667473964641
XRV-DenseNet-nih,Atelectasis,Age,<50,1175,0.7748707603076535,0.004341740325064389,0.6284201235657546,0.7619047619047619,0.23809523809523814,0.3715798764342454
XRV-DenseNet-nih,Atelectasis,Age,50-70,3089,0.6464995302550541,0.005905336290598927,0.6491759165825766,0.5862068965517241,0.4137931034482759,0.35082408341742344
XRV-DenseNet-nih,Atelectasis,Age,70+,3175,0.5999615067855479,0.00555922408712524,0.7112471801482436,0.5416666666666666,0.45833333333333337,0.2887528198517564
XRV-DenseNet-nih,Atelectasis,Race,White,5340,0.6830906947431037,0.002232554058310585,0.6744545279011392,0.6273291925465838,0.3726708074534162,0.32554547209886076
XRV-DenseNet-nih,Atelectasis,Race,Black,826,0.5516390915630459,0.013974204917822353,0.6311787072243346,0.4864864864864865,0.5135135135135135,0.36882129277566544
XRV-DenseNet-nih,Atelectasis,Race,Asian,197,0.65625,0.004358801559396575,0.703125,0.6,0.4,0.296875
XRV-DenseNet-nih,Atelectasis,Race,Other,620,0.6646363971945367,0.0033950757400552705,0.6694352159468439,0.6666666666666666,0.33333333333333337,0.33056478405315615
XRV-DenseNet-nih,Cardiomegaly,Gender,Female,4246,0.8087444691004188,0.024922577902867997,0.7292268206608918,0.75022143489814,0.24977856510186003,0.27077317933910816
XRV-DenseNet-nih,Cardiomegaly,Gender,Male,5177,0.80215964226125,0.015565126762856658,0.7065616797900263,0.7490855888807608,0.2509144111192392,0.29343832020997374
XRV-DenseNet-nih,Cardiomegaly,Age,<50,1629,0.8266576429462862,0.08447652885207024,0.6495278069254984,0.8121301775147929,0.18786982248520712,0.3504721930745016
XRV-DenseNet-nih,Cardiomegaly,Age,50-70,3968,0.8058922473426561,0.03005537197834472,0.7070742979025951,0.7601731601731602,0.23982683982683983,0.29292570209740487
XRV-DenseNet-nih,Cardiomegaly,Age,70+,3826,0.764273226565306,0.03122925777711556,0.7456501107244543,0.6676691729323309,0.33233082706766914,0.2543498892755457
XRV-DenseNet-nih,Cardiomegaly,Race,White,6459,0.8016165715082852,0.01784340781947594,0.7250470809792844,0.7404761904761905,0.2595238095238095,0.2749529190207156
XRV-DenseNet-nih,Cardiomegaly,Race,Black,1333,0.8106532314562014,0.04246969853566387,0.7045235803657363,0.7585034013605442,0.24149659863945583,0.29547641963426374
XRV-DenseNet-nih,Cardiomegaly,Race,Asian,281,0.7462969546154757,0.10166263847812351,0.6597938144329897,0.7471264367816092,0.25287356321839083,0.3402061855670103
XRV-DenseNet-nih,Cardiomegaly,Race,Other,748,0.820303665915702,0.030501360328217313,0.6767485822306238,0.771689497716895,0.228310502283105,0.32325141776937616
XRV-DenseNet-nih,Consolidation,Gender,Female,1322,0.8057562285820136,0.034924063804204625,0.6734972677595629,0.8135593220338984,0.18644067796610164,0.32650273224043713
XRV-DenseNet-nih,Consolidation,Gender,Male,1566,0.7743763994528521,0.03583468224200646,0.6962283384301733,0.7487179487179487,0.2512820512820513,0.3037716615698267
XRV-DenseNet-nih,Consolidation,Age,<50,589,0.7849823443882851,0.034092498110906505,0.6270627062706271,0.8251748251748252,0.1748251748251748,0.3729372937293729
XRV-DenseNet-nih,Consolidation,Age,50-70,1206,0.8027993752710514,0.04384309697694222,0.6775106082036775,0.8036072144288577,0.19639278557114226,0.3224893917963225
XRV-DenseNet-nih,Consolidation,Age,70+,1093,0.771444724076303,0.028078855876450922,0.7211948790896159,0.7205128205128205,0.2794871794871795,0.2788051209103841
XRV-DenseNet-nih,Consolidation,Race,White,1925,0.7806904539736037,0.03379088199826587,0.6836483155299918,0.7612994350282486,0.2387005649717514,0.31635168447000817
XRV-DenseNet-nih,Consolidation,Race,Black,419,0.7808219178082192,0.11408010760493255,0.67,0.8082191780821918,0.1917808219178082,0.32999999999999996
XRV-DenseNet-nih,Consolidation,Race,Asian,106,0.8243464052287582,0.09543259152380298,0.7361111111111112,0.8235294117647058,0.17647058823529416,0.26388888888888884
XRV-DenseNet-nih,Consolidation,Race,Other,236,0.8053097345132744,0.0961649784744154,0.7079646017699115,0.8373983739837398,0.16260162601626016,0.2920353982300885
XRV-DenseNet-nih,Edema,Gender,Female,3807,0.8321572760230167,0.012363958651437449,0.7782587782587782,0.7413194444444444,0.2586805555555556,0.2217412217412218
XRV-DenseNet-nih,Edema,Gender,Male,4454,0.8293008905224927,0.01359311419161683,0.7639007698887939,0.7523629489603024,0.24763705103969758,0.23609923011120615
XRV-DenseNet-nih,Edema,Age,<50,1290,0.8651682040084457,0.06382849860513859,0.7912713472485768,0.7968545216251638,0.2031454783748362,0.20872865275142316
XRV-DenseNet-nih,Edema,Age,50-70,3485,0.8323718981524497,0.019499063405306754,0.7592800899887514,0.7680140597539543,0.23198594024604569,0.2407199100112486
XRV-DenseNet-nih,Edema,Age,70+,3486,0.8084143840148206,0.023683149853772408,0.775094696969697,0.6943231441048034,0.30567685589519655,0.22490530303030298
XRV-DenseNet-nih,Edema,Race,White,5718,0.8268749590272567,0.014987607273216675,0.7630150111785372,0.7483571704677232,0.2516428295322768,0.2369849888214628
XRV-DenseNet-nih,Edema,Race,Black,1093,0.8545865568170401,0.030029319936081763,0.7927927927927928,0.775092936802974,0.22490706319702602,0.2072072072072072
XRV-DenseNet-nih,Edema,Race,Asian,228,0.8336798336798337,0.06183465613668921,0.7606837606837606,0.7297297297297297,0.2702702702702703,0.23931623931623935
XRV-DenseNet-nih,Edema,Race,Other,685,0.7992274354625966,0.05737694067690731,0.7836990595611285,0.7021857923497268,0.2978142076502732,0.2163009404388715
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Gender,Female,882,0.776793417306531,0.057759709636540875,0.7182835820895522,0.7427745664739884,0.25722543352601157,0.28171641791044777
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Gender,Male,1124,0.7613055192552797,0.03780286098124189,0.7073552425665102,0.6907216494845361,0.30927835051546393,0.29264475743348983
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Age,<50,483,0.726752799310939,0.0550514798460029,0.56,0.7790697674418605,0.22093023255813948,0.43999999999999995
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Age,50-70,891,0.7938139534883721,0.045420038502386115,0.7267441860465116,0.744,0.256,0.2732558139534884
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Age,70+,632,0.7281455104035749,0.04408501169320246,0.7741935483870968,0.5656565656565656,0.43434343434343436,0.22580645161290325
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Race,White,1346,0.7576558453570108,0.029098936879918807,0.7193627450980392,0.6849056603773584,0.31509433962264155,0.2806372549019608
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Race,Black,223,0.7763754045307443,0.07893746945190103,0.7166666666666667,0.7475728155339806,0.2524271844660194,0.2833333333333333
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Race,Asian,71,0.681904761904762,0.20567736453525148,0.64,0.7142857142857143,0.2857142857142857,0.36
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Race,Other,194,0.8107847341337908,0.0823252381505493,0.7358490566037735,0.8068181818181818,0.19318181818181823,0.26415094339622647
XRV-DenseNet-nih,Lung Opacity,Gender,Female,3716,0.6904595089983935,0.008664214066966306,0.5567567567567567,0.736318407960199,0.263681592039801,0.44324324324324327
XRV-DenseNet-nih,Lung Opacity,Gender,Male,4738,0.6496084966988616,0.010308323328807299,0.5126426493622734,0.7137546468401487,0.28624535315985133,0.48735735063772656
XRV-DenseNet-nih,Lung Opacity,Age,<50,1454,0.6961328666630017,0.02492419888966501,0.48159278737791134,0.8211382113821138,0.17886178861788615,0.5184072126220887
XRV-DenseNet-nih,Lung Opacity,Age,50-70,3409,0.678174924165824,0.007549060932324313,0.4951937984496124,0.7771739130434783,0.22282608695652173,0.5048062015503876
XRV-DenseNet-nih,Lung Opacity,Age,70+,3591,0.6175594705457045,0.010256311076529537,0.5863477246207701,0.588957055214724,0.41104294478527603,0.4136522753792299
XRV-DenseNet-nih,Lung Opacity,Race,White,5827,0.6784070237962654,0.006155459626441978,0.5304426377597109,0.726027397260274,0.273972602739726,0.4695573622402891
XRV-DenseNet-nih,Lung Opacity,Race,Black,1098,0.6104985265225933,0.022096762862958023,0.5098231827111984,0.6625,0.3375,0.4901768172888016
XRV-DenseNet-nih,Lung Opacity,Race,Asian,293,0.7520383693045564,0.01010116583708957,0.5899280575539568,0.8,0.19999999999999996,0.41007194244604317
XRV-DenseNet-nih,Lung Opacity,Race,Other,681,0.6491106838120418,0.027687835743551725,0.5238853503184714,0.7547169811320755,0.24528301886792447,0.4761146496815286
XRV-DenseNet-nih,Pleural Effusion,Gender,Female,5712,0.8029068398799272,0.022209712602417803,0.8237862830721808,0.6327652556349642,0.3672347443650358,0.17621371692781918
XRV-DenseNet-nih,Pleural Effusion,Gender,Male,6990,0.7877767440606208,0.010913091369088117,0.7788339670468948,0.6573581560283688,0.3426418439716312,0.22116603295310522
XRV-DenseNet-nih,Pleural Effusion,Age,<50,2081,0.8217706625411288,0.0553346442853217,0.7380073800738007,0.7662988966900702,0.23370110330992977,0.26199261992619927
XRV-DenseNet-nih,Pleural Effusion,Age,50-70,5288,0.7858612845593506,0.015460542216295566,0.7635829662261381,0.667020711630377,0.332979288369623,0.23641703377386192
XRV-DenseNet-nih,Pleural Effusion,Age,70+,5333,0.7568966877051351,0.03292650341188321,0.8443692605123247,0.5138075313807532,0.4861924686192468,0.15563073948767525
XRV-DenseNet-nih,Pleural Effusion,Race,White,9135,0.7934514248302174,0.021246340742844125,0.7994109440396838,0.6494038748137109,0.35059612518628913,0.20058905596031618
XRV-DenseNet-nih,Pleural Effusion,Race,Black,1390,0.7617862054913147,0.06691563028707054,0.7524875621890548,0.6245733788395904,0.3754266211604096,0.24751243781094523
XRV-DenseNet-nih,Pleural Effusion,Race,Asian,387,0.7613869384204314,0.05601130780569317,0.8308270676691729,0.5619834710743802,0.4380165289256198,0.16917293233082709
XRV-DenseNet-nih,Pleural Effusion,Race,Other,1046,0.8075291683430083,0.04793425364559775,0.8015748031496063,0.6496350364963503,0.35036496350364965,0.19842519685039373
XRV-DenseNet-nih,Pneumonia,Gender,Female,2800,0.6963891080457429,0.02701296139357767,0.6471631205673759,0.6566985645933014,0.34330143540669855,0.3528368794326241
XRV-DenseNet-nih,Pneumonia,Gender,Male,3183,0.709159652803622,0.02633003192991392,0.6827794561933535,0.6261430876815492,0.37385691231845075,0.31722054380664655
XRV-DenseNet-nih,Pneumonia,Age,<50,1330,0.6877798919137914,0.034440272738319455,0.5731462925851704,0.7148014440433214,0.28519855595667865,0.42685370741482964
XRV-DenseNet-nih,Pneumonia,Age,50-70,2601,0.717871243896139,0.027960139041352954,0.6488038277511962,0.6825192802056556,0.31748071979434445,0.35119617224880384
XRV-DenseNet-nih,Pneumonia,Age,70+,2052,0.6863024090446997,0.03021406210096224,0.737885462555066,0.5297202797202797,0.4702797202797203,0.26211453744493396
XRV-DenseNet-nih,Pneumonia,Race,White,3927,0.704613307288748,0.021051714410660644,0.6666666666666666,0.6404886561954625,0.35951134380453753,0.33333333333333337
XRV-DenseNet-nih,Pneumonia,Race,Black,872,0.711262052807065,0.05071476041183584,0.6851851851851852,0.6277372262773723,0.3722627737226277,0.31481481481481477
XRV-DenseNet-nih,Pneumonia,Race,Asian,227,0.6591725214676035,0.06270496685539693,0.7238095238095238,0.48360655737704916,0.5163934426229508,0.2761904761904762
XRV-DenseNet-nih,Pneumonia,Race,Other,541,0.707041231126597,0.06740426683096076,0.6585365853658537,0.6636904761904762,0.33630952380952384,0.3414634146341463
XRV-DenseNet-nih,Pneumothorax,Gender,Female,3465,0.6537775799226511,0.012616189546554302,0.7039370078740157,0.5272084805653711,0.47279151943462894,0.2960629921259843
XRV-DenseNet-nih,Pneumothorax,Gender,Male,4825,0.6151899651629432,0.01799748058994225,0.6408450704225352,0.5306708431219003,0.46932915687809973,0.35915492957746475
XRV-DenseNet-nih,Pneumothorax,Age,<50,1761,0.6520975056689342,0.045851298562814266,0.7210884353741497,0.5075757575757576,0.49242424242424243,0.2789115646258503
