model,target,task,n_test,prevalence,linear_auroc,linear_auroc_ci_lo,linear_auroc_ci_hi,linear_auprc,mlp_auroc_mean,mlp_auroc_std,mlp_auroc_ensemble,perm_p,linear_mae,linear_mae_ci_lo,linear_mae_ci_hi,linear_r2,mlp_mae_mean,mlp_mae_std
BiomedCLIP,hypothyroidism,binary,35471,0.16934061027470598,0.6603337372940518,0.6525675626488399,0.6676444426216387,0.2527766471604341,0.6429550021389075,0.0009826134959860574,0.6447671060491177,,,,,,,
BiomedCLIP,respiratory_failure,binary,35471,0.16929292578993685,0.6696584142223792,0.662322836894101,0.6767918018973185,0.2879283578639973,0.6651340900825022,0.0014320020988072156,0.6665877070844184,,,,,,,
BiomedCLIP,aki,binary,35471,0.42907799881222286,0.7134900857339201,0.7081855214518468,0.7188215944462805,0.63268534153196,0.7077636121434703,0.0007512362988288007,0.7087520696099797,,,,,,,
BiomedCLIP,stroke,binary,35471,0.0635807580099097,0.6215218087474289,0.6102975236858859,0.632629882008033,0.08042276739540327,0.6140930368139,0.002725889890683933,0.6157351166963151,0.0,,,,,,
BiomedCLIP,pulmonary_fibrosis,binary,35471,0.020716741155611812,0.7195794594743645,0.7004818319849828,0.7394977406103067,0.08604106993109255,0.668004889837023,0.008812029046996033,0.6696230467111546,,,,,,,
BiomedCLIP,liver_disease,binary,35471,0.09961722363589862,0.7125459876726732,0.7038750194100258,0.7214401658459446,0.28085346610835116,0.6838294100715011,0.00363823748648325,0.6854523898255468,,,,,,,
BiomedCLIP,hyperlipidemia,binary,35471,0.4994949779567632,0.693720906017404,0.6880544836690136,0.6989133070490016,0.6490480223804471,0.6858736587763075,0.00045487838754375976,0.6867081478544237,,,,,,,
BiomedCLIP,asthma,binary,35471,0.16212724821508304,0.64093189473382,0.633147387664384,0.6480807017438841,0.284058313649611,0.6241323063738344,0.0015591430195430898,0.6258391854089663,0.0,,,,,,
BiomedCLIP,age,regression,35471,,,,,,,,,,9.360587854125388,9.288989679409625,9.433894173557418,0.5517922704870124,10.266503558933476,0.04921293405844949
BiomedCLIP,bmi,regression,28101,,,,,,,,,,3.579532149192604,3.5442906494341875,3.617145328631007,0.5581130832361207,3.817907214740292,0.005332419234205493
CLIP-ViT-B16,gender_binary,binary,35471,0.5384445321068306,0.9296187811509459,0.9272318361927961,0.9321820801913845,0.9376627928556627,0.9378599549166715,0.0013080785362951175,0.9388185481333713,,,,,,,
CLIP-ViT-B16,diabetes,binary,35471,0.32833368735450813,0.6938957099341291,0.688355312779896,0.6998210372427388,0.4925239924531766,0.7015335333825463,0.0006770664653442389,0.7035367369053034,,,,,,,
