model,attribute,finding,auroc_drop,mcc_drop,mcc_base,auroc_base
BiomedCLIP,heart_failure,Cardiomegaly,0.06579859375983244,0.11321276600901292,0.4942686920505431,0.8465614276909751
BiomedCLIP,heart_failure,Edema,0.030498414860567258,0.04843035305726262,0.6193215544998518,0.8891238137957663
BiomedCLIP,heart_failure,Pleural Effusion,0.01629687363328558,0.029976134223560602,0.5974999696676443,0.8900875194940125
BiomedCLIP,heart_failure,Pneumonia,0.004644368707273583,0.003617954727788808,0.3997097485426076,0.7707441384927625
BiomedCLIP,heart_failure,Pneumothorax,0.0012800014450589092,-0.001482282527260237,0.2715728796810856,0.6993154125758275
BiomedCLIP,atrial_fibrillation,Cardiomegaly,0.04869913993181629,0.07665424847897623,0.4942686920505431,0.8465614276909751
BiomedCLIP,atrial_fibrillation,Edema,0.015169078790982726,0.0328121834267856,0.6193215544998518,0.8891238137957663
BiomedCLIP,atrial_fibrillation,Pleural Effusion,0.019243394080931564,0.03621712554623213,0.5974999696676443,0.8900875194940125
BiomedCLIP,atrial_fibrillation,Pneumonia,0.00399976345609121,-0.001670421362916119,0.3997097485426076,0.7707441384927625
BiomedCLIP,atrial_fibrillation,Pneumothorax,-0.00029408053936097467,-0.00027081344004425967,0.2715728796810856,0.6993154125758275
BiomedCLIP,age,Cardiomegaly,0.033813824943642934,0.04906289239281564,0.4942686920505431,0.8465614276909751
BiomedCLIP,age,Edema,0.011783592246115582,0.024423452152903757,0.6193215544998518,0.8891238137957663
BiomedCLIP,age,Pleural Effusion,0.02230924313096061,0.042139823381365016,0.5974999696676443,0.8900875194940125
BiomedCLIP,age,Pneumonia,0.005019859062334264,0.003975082771691729,0.3997097485426076,0.7707441384927625
BiomedCLIP,age,Pneumothorax,-0.0035273997630952403,5.8911852455212355e-06,0.2715728796810856,0.6993154125758275
BiomedCLIP,sex,Cardiomegaly,-0.0003228494593804365,-0.0014354015377761042,0.4942686920505431,0.8465614276909751
BiomedCLIP,sex,Edema,0.00013186918294350036,0.002924732948835773,0.6193215544998518,0.8891238137957663
BiomedCLIP,sex,Pleural Effusion,-0.0004074524196754359,-0.0017104556274384342,0.5974999696676443,0.8900875194940125
BiomedCLIP,sex,Pneumonia,-0.0003972043466791142,-0.012494359252459009,0.3997097485426076,0.7707441384927625
BiomedCLIP,sex,Pneumothorax,0.00012920743221045417,-0.0009098897822640284,0.2715728796810856,0.6993154125758275
BiomedCLIP,race_black_vs_white,Cardiomegaly,0.0005156411137847705,0.001695064921654943,0.487851140674513,0.8469829335155579
BiomedCLIP,race_black_vs_white,Edema,0.00048572978838856695,0.0029827749304388584,0.6183340632021896,0.8871226478567553
BiomedCLIP,race_black_vs_white,Pleural Effusion,0.004558998644823675,0.010022956701932761,0.5900515939156635,0.8867287982346879
BiomedCLIP,race_black_vs_white,Pneumonia,0.0008897180941699334,-0.004556445197778203,0.39721822292500386,0.7671756932611493
BiomedCLIP,race_black_vs_white,Pneumothorax,-3.0502671548582327e-06,-0.0014302342917900113,0.2654155741590378,0.7023485531958966
XRV-DenseNet-nih,heart_failure,Cardiomegaly,0.05991627892342488,0.08663742710381589,0.43884296771182985,0.8048934885972023
XRV-DenseNet-nih,heart_failure,Edema,0.031031251170567153,0.04671357238745005,0.5155383139122375,0.8309000062901423
XRV-DenseNet-nih,heart_failure,Pleural Effusion,0.018566563386030688,0.039152955965602365,0.4466977447693965,0.7944501248399055
XRV-DenseNet-nih,heart_failure,Pneumonia,0.00646788200339754,0.016960601960346766,0.3040520979761769,0.7032637515401919
XRV-DenseNet-nih,heart_failure,Pneumothorax,0.010365716936744374,0.013607180931005186,0.14734740405440203,0.6302434417321021
XRV-DenseNet-nih,atrial_fibrillation,Cardiomegaly,0.04244660664512334,0.07149798280694447,0.43884296771182985,0.8048934885972023
XRV-DenseNet-nih,atrial_fibrillation,Edema,0.017198945423473666,0.022011910899031373,0.5155383139122375,0.8309000062901423
XRV-DenseNet-nih,atrial_fibrillation,Pleural Effusion,0.025078377842143396,0.051129477964036385,0.4466977447693965,0.7944501248399055
XRV-DenseNet-nih,atrial_fibrillation,Pneumonia,0.003842106016947122,0.016160183782090665,0.3040520979761769,0.7032637515401919
XRV-DenseNet-nih,atrial_fibrillation,Pneumothorax,0.0020839997607543514,0.001133365611450332,0.14734740405440203,0.6302434417321021
XRV-DenseNet-nih,age,Cardiomegaly,0.03012928090748579,0.04753925197056591,0.43884296771182985,0.8048934885972023
XRV-DenseNet-nih,age,Edema,0.01205015764227546,0.02546106346838145,0.5155383139122375,0.8309000062901423
XRV-DenseNet-nih,age,Pleural Effusion,0.027736973590546388,0.050658114888748274,0.4466977447693965,0.7944501248399055
XRV-DenseNet-nih,age,Pneumonia,0.005105675529209153,0.00646336085020921,0.3040520979761769,0.7032637515401919
XRV-DenseNet-nih,age,Pneumothorax,0.00044863179743293014,-0.0019349836111058893,0.14734740405440203,0.6302434417321021
XRV-DenseNet-nih,sex,Cardiomegaly,-0.00017345494960263608,-0.00013557428919219738,0.43884296771182985,0.8048934885972023
XRV-DenseNet-nih,sex,Edema,0.0002669187749438917,0.0012215234676343778,0.5155383139122375,0.8309000062901423
XRV-DenseNet-nih,sex,Pleural Effusion,-0.0005552833485397146,0.003051872137047107,0.4466977447693965,0.7944501248399055
XRV-DenseNet-nih,sex,Pneumonia,-0.0004102558416412272,0.0024573715045777544,0.3040520979761769,0.7032637515401919
XRV-DenseNet-nih,sex,Pneumothorax,-0.004511201003357446,-0.009738512389492832,0.14734740405440203,0.6302434417321021
XRV-DenseNet-nih,race_black_vs_white,Cardiomegaly,-0.0005669265943688551,-0.00124633613765468,0.42584308323037806,0.8007033163682009
XRV-DenseNet-nih,race_black_vs_white,Edema,4.8095496473221644e-05,0.007030018922120962,0.5162019180078127,0.8310797612588172
XRV-DenseNet-nih,race_black_vs_white,Pleural Effusion,0.002242764138198461,0.0007961577113395624,0.42956855504197344,0.7887701195210727
XRV-DenseNet-nih,race_black_vs_white,Pneumonia,0.0003296450474156165,0.013876648655114898,0.30861900338140524,0.7045877100273925
XRV-DenseNet-nih,race_black_vs_white,Pneumothorax,-0.0017073177156881059,0.004382548305534584,0.15817530744471558,0.6339316155060608
CLIP-ViT-B16,heart_failure,Cardiomegaly,0.06346392137048273,0.09926031883024938,0.3968355802239485,0.7821135153042906
CLIP-ViT-B16,heart_failure,Edema,0.03276445631378344,0.06323177223794862,0.552697903727084,0.8499659696230886
CLIP-ViT-B16,heart_failure,Pleural Effusion,0.016127509509664684,0.03795616401764873,0.5003538984382923,0.8335833070805667
CLIP-ViT-B16,heart_failure,Pneumonia,0.0050777245399983295,-0.006093390952806199,0.32346689772491294,0.7171622076753879
