model,strategy,n_attrs_removed,disease,dimension,overall_auroc,auroc_gap,auroc_Female,auroc_Male,auroc_<50,auroc_50-70,auroc_70+,gap_baseline,auroc_baseline,gap_reduction,gap_reduction_pct,auroc_cost
DINOv2-base,top3,3,Pneumonia,Gender,0.741228,0.006995,0.737681,0.744676,,,,0.010103,0.745943,0.003107,30.758717,0.004715
DINOv2-base,top3,3,Pneumonia,Age,0.741228,0.018000,,,0.749868,0.745220,0.731868,0.015397,0.745943,-0.002604,-16.909750,0.004715
DINOv2-base,top3,3,Pneumothorax,Gender,0.702405,0.027991,0.719115,0.691124,,,,0.026737,0.702207,-0.001254,-4.690187,-0.000198
DINOv2-base,top3,3,Pneumothorax,Age,0.702405,0.031312,,,0.719675,0.688362,0.702319,0.029165,0.702207,-0.002147,-7.361706,-0.000198
DINOv2-base,top3,3,Support Devices,Gender,0.735598,0.033528,0.716722,0.750250,,,,0.041479,0.745245,0.007951,19.168913,0.009647
DINOv2-base,top3,3,Support Devices,Age,0.735598,0.066644,,,0.785220,0.723611,0.718576,0.063988,0.745245,-0.002656,-4.151260,0.009647
DINOv2-base,all_confounders,9,Atelectasis,Gender,0.672722,0.042433,0.649434,0.691867,,,,0.039772,0.696113,-0.002661,-6.691556,0.023391
DINOv2-base,all_confounders,9,Atelectasis,Age,0.672722,0.143483,,,0.746837,0.693004,0.603354,0.138959,0.696113,-0.004524,-3.255920,0.023391
DINOv2-base,all_confounders,9,Cardiomegaly,Gender,0.725771,0.007310,0.730730,0.723420,,,,0.005920,0.813224,-0.001391,-23.494723,0.087453
DINOv2-base,all_confounders,9,Cardiomegaly,Age,0.725771,0.045128,,,0.760086,0.739230,0.714958,0.053331,0.813224,0.008203,15.380742,0.087453
DINOv2-base,all_confounders,9,Consolidation,Gender,0.858167,0.025503,0.871149,0.845647,,,,0.020868,0.882760,-0.004635,-22.211170,0.024593
DINOv2-base,all_confounders,9,Consolidation,Age,0.858167,0.017526,,,0.861317,0.853977,0.871503,0.013376,0.882760,-0.004150,-31.028466,0.024593
DINOv2-base,all_confounders,9,Edema,Gender,0.853932,0.012516,0.847050,0.859566,,,,0.003054,0.889433,-0.009462,-309.872469,0.035501
DINOv2-base,all_confounders,9,Edema,Age,0.853932,0.025839,,,0.859481,0.869558,0.843719,0.032743,0.889433,0.006904,21.085147,0.035501
DINOv2-base,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.729225,0.030803,0.748458,0.717655,,,,0.029492,0.773702,-0.001311,-4.445123,0.044477
DINOv2-base,all_confounders,9,Enlarged Cardiomediastinum,Age,0.729225,0.079884,,,0.726977,0.765566,0.685682,0.077712,0.773702,-0.002173,-2.795661,0.044477
DINOv2-base,all_confounders,9,Lung Opacity,Gender,0.692737,0.000489,0.692396,0.692885,,,,0.017093,0.718800,0.016604,97.139417,0.026063
DINOv2-base,all_confounders,9,Lung Opacity,Age,0.692737,0.049742,,,0.690190,0.724759,0.675017,0.063357,0.718800,0.013614,21.488359,0.026063
DINOv2-base,all_confounders,9,Pleural Effusion,Gender,0.850965,0.010729,0.857150,0.846421,,,,0.021095,0.883672,0.010366,49.141243,0.032708
DINOv2-base,all_confounders,9,Pleural Effusion,Age,0.850965,0.017227,,,0.855380,0.863980,0.846753,0.013933,0.883672,-0.003294,-23.640034,0.032708
DINOv2-base,all_confounders,9,Pneumonia,Gender,0.732732,0.011793,0.726592,0.738385,,,,0.010103,0.745943,-0.001690,-16.730798,0.013211
DINOv2-base,all_confounders,9,Pneumonia,Age,0.732732,0.023471,,,0.743335,0.738215,0.719864,0.015397,0.745943,-0.008074,-52.442612,0.013211
DINOv2-base,all_confounders,9,Pneumothorax,Gender,0.700527,0.028039,0.717173,0.689133,,,,0.026737,0.702207,-0.001302,-4.870361,0.001680
DINOv2-base,all_confounders,9,Pneumothorax,Age,0.700527,0.037055,,,0.720427,0.683372,0.703004,0.029165,0.702207,-0.007890,-27.052124,0.001680
DINOv2-base,all_confounders,9,Support Devices,Gender,0.729441,0.032132,0.711279,0.743410,,,,0.041479,0.745245,0.009347,22.535302,0.015804
DINOv2-base,all_confounders,9,Support Devices,Age,0.729441,0.055048,,,0.770100,0.718831,0.715052,0.063988,0.745245,0.008940,13.971459,0.015804
BiomedCLIP,top3,3,Atelectasis,Gender,0.682143,0.002001,0.682959,0.684960,,,,0.024816,0.707465,0.022815,91.937232,0.025322
BiomedCLIP,top3,3,Atelectasis,Age,0.682143,0.097317,,,0.757870,0.681577,0.660553,0.089505,0.707465,-0.007812,-8.728378,0.025322
BiomedCLIP,top3,3,Cardiomegaly,Gender,0.762754,0.007952,0.768054,0.760103,,,,0.009133,0.846561,0.001181,12.935771,0.083807
BiomedCLIP,top3,3,Cardiomegaly,Age,0.762754,0.041381,,,0.807903,0.774056,0.766522,0.036943,0.846561,-0.004438,-12.012119,0.083807
BiomedCLIP,top3,3,Consolidation,Gender,0.886921,0.017053,0.895212,0.878159,,,,0.016260,0.899835,-0.000793,-4.878952,0.012914
BiomedCLIP,top3,3,Consolidation,Age,0.886921,0.027916,,,0.892393,0.904306,0.876391,0.029195,0.899835,0.001279,4.382138,0.012914
BiomedCLIP,top3,3,Edema,Gender,0.856464,0.008272,0.851881,0.860153,,,,0.005987,0.889124,-0.002285,-38.161731,0.032660
BiomedCLIP,top3,3,Edema,Age,0.856464,0.049327,,,0.889941,0.875220,0.840613,0.043475,0.889124,-0.005853,-13.462086,0.032660
BiomedCLIP,top3,3,Enlarged Cardiomediastinum,Gender,0.758667,0.035588,0.778379,0.742791,,,,0.024297,0.796689,-0.011291,-46.472898,0.038022
BiomedCLIP,top3,3,Enlarged Cardiomediastinum,Age,0.758667,0.100660,,,0.718501,0.813607,0.712947,0.093216,0.796689,-0.007444,-7.985303,0.038022
BiomedCLIP,top3,3,Lung Opacity,Gender,0.732818,0.000159,0.732589,0.732748,,,,0.017896,0.757180,0.017737,99.110919,0.024361
BiomedCLIP,top3,3,Lung Opacity,Age,0.732818,0.030786,,,0.742892,0.755317,0.724531,0.031633,0.757180,0.000848,2.679946,0.024361
BiomedCLIP,top3,3,Pleural Effusion,Gender,0.857272,0.000759,0.857721,0.858481,,,,0.013903,0.890088,0.013144,94.538380,0.032815
BiomedCLIP,top3,3,Pleural Effusion,Age,0.857272,0.036438,,,0.886680,0.875617,0.850243,0.034195,0.890088,-0.002243,-6.558439,0.032815
BiomedCLIP,top3,3,Pneumonia,Gender,0.763430,0.010127,0.758152,0.768279,,,,0.011891,0.770744,0.001763,14.829988,0.007314
BiomedCLIP,top3,3,Pneumonia,Age,0.763430,0.043454,,,0.782909,0.775232,0.739455,0.041323,0.770744,-0.002131,-5.157785,0.007314
BiomedCLIP,top3,3,Pneumothorax,Gender,0.701681,0.012162,0.708465,0.696303,,,,0.008874,0.699315,-0.003288,-37.056627,-0.002366
BiomedCLIP,top3,3,Pneumothorax,Age,0.701681,0.044941,,,0.720697,0.703811,0.675756,0.047186,0.699315,0.002245,4.757895,-0.002366
BiomedCLIP,top3,3,Support Devices,Gender,0.755640,0.010792,0.761818,0.751026,,,,0.003360,0.762927,-0.007432,-221.208600,0.007286
BiomedCLIP,top3,3,Support Devices,Age,0.755640,0.060018,,,0.792824,0.756941,0.732806,0.057402,0.762927,-0.002615,-4.555932,0.007286
BiomedCLIP,all_confounders,9,Atelectasis,Gender,0.680165,0.006013,0.685071,0.679058,,,,0.024816,0.707465,0.018803,75.770647,0.027300
BiomedCLIP,all_confounders,9,Atelectasis,Age,0.680165,0.105894,,,0.761989,0.678019,0.656094,0.089505,0.707465,-0.016389,-18.310971,0.027300
BiomedCLIP,all_confounders,9,Cardiomegaly,Gender,0.761250,0.007032,0.766418,0.759387,,,,0.009133,0.846561,0.002101,23.009432,0.085312
BiomedCLIP,all_confounders,9,Cardiomegaly,Age,0.761250,0.034083,,,0.801372,0.770234,0.767289,0.036943,0.846561,0.002861,7.743124,0.085312
BiomedCLIP,all_confounders,9,Consolidation,Gender,0.876331,0.021834,0.886927,0.865093,,,,0.016260,0.899835,-0.005574,-34.280447,0.023504
BiomedCLIP,all_confounders,9,Consolidation,Age,0.876331,0.036069,,,0.882146,0.896823,0.860754,0.029195,0.899835,-0.006874,-23.544069,0.023504
BiomedCLIP,all_confounders,9,Edema,Gender,0.854261,0.011374,0.847996,0.859370,,,,0.005987,0.889124,-0.005387,-89.972275,0.034863
BiomedCLIP,all_confounders,9,Edema,Age,0.854261,0.045570,,,0.885519,0.869184,0.839949,0.043475,0.889124,-0.002095,-4.819382,0.034863
BiomedCLIP,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.753570,0.043180,0.777775,0.734595,,,,0.024297,0.796689,-0.018883,-77.719570,0.043119
BiomedCLIP,all_confounders,9,Enlarged Cardiomediastinum,Age,0.753570,0.102444,,,0.712558,0.810434,0.707990,0.093216,0.796689,-0.009228,-9.899436,0.043119
BiomedCLIP,all_confounders,9,Lung Opacity,Gender,0.732525,0.006881,0.728423,0.735304,,,,0.017896,0.757180,0.011015,61.550667,0.024655
BiomedCLIP,all_confounders,9,Lung Opacity,Age,0.732525,0.017901,,,0.733674,0.750824,0.732923,0.031633,0.757180,0.013732,43.410743,0.024655
BiomedCLIP,all_confounders,9,Pleural Effusion,Gender,0.851960,0.002051,0.853927,0.851875,,,,0.013903,0.890088,0.011852,85.245105,0.038128
BiomedCLIP,all_confounders,9,Pleural Effusion,Age,0.851960,0.038097,,,0.880054,0.869925,0.841957,0.034195,0.890088,-0.003902,-11.410977,0.038128
BiomedCLIP,all_confounders,9,Pneumonia,Gender,0.755206,0.013355,0.748134,0.761489,,,,0.011891,0.770744,-0.001464,-12.316022,0.015538
BiomedCLIP,all_confounders,9,Pneumonia,Age,0.755206,0.048619,,,0.776578,0.767593,0.727959,0.041323,0.770744,-0.007297,-17.657366,0.015538
BiomedCLIP,all_confounders,9,Pneumothorax,Gender,0.699358,0.007911,0.703600,0.695690,,,,0.008874,0.699315,0.000963,10.851673,-0.000043
BiomedCLIP,all_confounders,9,Pneumothorax,Age,0.699358,0.047521,,,0.720948,0.700498,0.673427,0.047186,0.699315,-0.000335,-0.710395,-0.000043
BiomedCLIP,all_confounders,9,Support Devices,Gender,0.748736,0.016272,0.758034,0.741763,,,,0.003360,0.762927,-0.012912,-384.293961,0.014190
BiomedCLIP,all_confounders,9,Support Devices,Age,0.748736,0.056619,,,0.782082,0.749879,0.725464,0.057402,0.762927,0.000784,1.365008,0.014190
XRV-DenseNet-nih,top3,3,Atelectasis,Gender,0.638053,0.042519,0.615934,0.658453,,,,0.030418,0.659998,-0.012101,-39.783293,0.021945
XRV-DenseNet-nih,top3,3,Atelectasis,Age,0.638053,0.180687,,,0.765162,0.628968,0.584475,0.174909,0.659998,-0.005778,-3.303466,0.021945
XRV-DenseNet-nih,top3,3,Cardiomegaly,Gender,0.731022,0.010004,0.725417,0.735421,,,,0.006585,0.804893,-0.003420,-51.931386,0.073871
XRV-DenseNet-nih,top3,3,Cardiomegaly,Age,0.731022,0.065809,,,0.784281,0.745164,0.718473,0.062384,0.804893,-0.003424,-5.489152,0.073871
XRV-DenseNet-nih,top3,3,Consolidation,Gender,0.778719,0.034430,0.794830,0.760400,,,,0.031380,0.791057,-0.003050,-9.719688,0.012338
XRV-DenseNet-nih,top3,3,Consolidation,Age,0.778719,0.028099,,,0.782663,0.797312,0.769213,0.031355,0.791057,0.003255,10.382656,0.012338
XRV-DenseNet-nih,top3,3,Edema,Gender,0.796401,0.009084,0.791140,0.800223,,,,0.002856,0.830900,-0.006227,-218.008201,0.034499
XRV-DenseNet-nih,top3,3,Edema,Age,0.796401,0.056220,,,0.838068,0.809298,0.781848,0.056754,0.830900,0.000534,0.940912,0.034499
XRV-DenseNet-nih,top3,3,Enlarged Cardiomediastinum,Gender,0.732292,0.020772,0.745206,0.724434,,,,0.015488,0.767205,-0.005284,-34.119498,0.034913
XRV-DenseNet-nih,top3,3,Enlarged Cardiomediastinum,Age,0.732292,0.072288,,,0.713506,0.772295,0.700007,0.067061,0.767205,-0.005226,-7.793539,0.034913
XRV-DenseNet-nih,top3,3,Lung Opacity,Gender,0.640426,0.020324,0.651543,0.631219,,,,0.040851,0.667383,0.020527,50.248418,0.026958
XRV-DenseNet-nih,top3,3,Lung Opacity,Age,0.640426,0.071197,,,0.679384,0.665056,0.608187,0.078573,0.667383,0.007376,9.387847,0.026958
XRV-DenseNet-nih,top3,3,Pleural Effusion,Gender,0.754432,0.007897,0.750155,0.758052,,,,0.015130,0.794450,0.007233,47.806497,0.040018
XRV-DenseNet-nih,top3,3,Pleural Effusion,Age,0.754432,0.068933,,,0.803518,0.773844,0.734585,0.064874,0.794450,-0.004059,-6.256023,0.040018
XRV-DenseNet-nih,top3,3,Pneumonia,Gender,0.694305,0.007944,0.689841,0.697786,,,,0.012771,0.703264,0.004826,37.792688,0.008959
XRV-DenseNet-nih,top3,3,Pneumonia,Age,0.694305,0.029906,,,0.687524,0.710696,0.680790,0.031569,0.703264,0.001663,5.267234,0.008959
XRV-DenseNet-nih,top3,3,Pneumothorax,Gender,0.622945,0.044548,0.649952,0.605404,,,,0.038588,0.630243,-0.005960,-15.446638,0.007298
