policy,attribute,finding,abs_log_or
U-Ignore,anemia,Enlarged Cardiomediastinum,0.5824608535141879
U-Ignore,anemia,Lung Opacity,0.3464344494609929
U-Ignore,anemia,Pleural Effusion,0.5951472618993114
U-Ignore,anemia,Pneumonia,0.3296844771708772
U-Ignore,anemia,Pneumothorax,0.29062854010070555
U-Ignore,anemia,Support Devices,0.2702606636979802
U-Ignore,smoking_history,Atelectasis,0.05696236306470082
U-Ignore,smoking_history,Cardiomegaly,0.254097531405957
U-Ignore,smoking_history,Consolidation,0.0854948725959288
U-Ignore,smoking_history,Edema,0.01187012324343191
U-Ignore,smoking_history,Enlarged Cardiomediastinum,0.224840343787486
U-Ignore,smoking_history,Lung Opacity,0.0003264644474723289
U-Ignore,smoking_history,Pleural Effusion,0.31524667031088327
U-Ignore,smoking_history,Pneumonia,0.0208136617152287
U-Ignore,smoking_history,Pneumothorax,0.05596860981403162
U-Ignore,smoking_history,Support Devices,0.12913064830648707
U-Ignore,cancer_history,Atelectasis,0.04988136275797082
U-Ignore,cancer_history,Cardiomegaly,0.1727464589278484
U-Ignore,cancer_history,Consolidation,0.2153170442300745
U-Ignore,cancer_history,Edema,0.09115721263366591
U-Ignore,cancer_history,Enlarged Cardiomediastinum,0.37786164907140646
U-Ignore,cancer_history,Lung Opacity,0.20369502061776876
U-Ignore,cancer_history,Pleural Effusion,0.2779289592920127
U-Ignore,cancer_history,Pneumonia,0.04473171978039044
U-Ignore,cancer_history,Pneumothorax,0.34170768853000894
U-Ignore,cancer_history,Support Devices,0.07386545139899665
U-Ignore,depression,Atelectasis,0.015631461937582195
U-Ignore,depression,Cardiomegaly,0.06638881661372355
U-Ignore,depression,Consolidation,0.08595828572686214
U-Ignore,depression,Edema,0.10906911021301942
U-Ignore,depression,Enlarged Cardiomediastinum,0.06387527438590959
U-Ignore,depression,Lung Opacity,0.12270673087650032
U-Ignore,depression,Pleural Effusion,0.09076891418035049
U-Ignore,depression,Pneumonia,0.026459560215865142
