attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop
pulmonary_fibrosis,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.710359,-0.002894
pulmonary_fibrosis,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.846486,0.000075
pulmonary_fibrosis,comorbidity,BiomedCLIP,Consolidation,0.899835,0.899851,-0.000016
pulmonary_fibrosis,comorbidity,BiomedCLIP,Edema,0.889124,0.887742,0.001382
pulmonary_fibrosis,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.796203,0.000485
pulmonary_fibrosis,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.753416,0.003764
pulmonary_fibrosis,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.890821,-0.000734
pulmonary_fibrosis,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.768653,0.002091
pulmonary_fibrosis,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.699667,-0.000352
pulmonary_fibrosis,comorbidity,BiomedCLIP,Support Devices,0.762927,0.763308,-0.000381
liver_disease,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.710536,-0.003070
liver_disease,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.846714,-0.000152
liver_disease,comorbidity,BiomedCLIP,Consolidation,0.899835,0.899776,0.000059
liver_disease,comorbidity,BiomedCLIP,Edema,0.889124,0.887387,0.001737
liver_disease,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.797369,-0.000680
liver_disease,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.757368,-0.000188
liver_disease,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.889269,0.000818
liver_disease,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.770121,0.000623
liver_disease,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.701359,-0.002044
liver_disease,comorbidity,BiomedCLIP,Support Devices,0.762927,0.760492,0.002435
anemia,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.696591,0.010875
anemia,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.834420,0.012141
anemia,comorbidity,BiomedCLIP,Consolidation,0.899835,0.891434,0.008401
anemia,comorbidity,BiomedCLIP,Edema,0.889124,0.882124,0.007000
anemia,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.781291,0.015398
anemia,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.751286,0.005894
anemia,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.877177,0.012911
anemia,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.762715,0.008029
anemia,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.700267,-0.000951
anemia,comorbidity,BiomedCLIP,Support Devices,0.762927,0.759131,0.003796
smoking_history,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.711180,-0.003715
smoking_history,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.844675,0.001886
smoking_history,comorbidity,BiomedCLIP,Consolidation,0.899835,0.899962,-0.000127
smoking_history,comorbidity,BiomedCLIP,Edema,0.889124,0.888786,0.000338
smoking_history,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.796929,-0.000240
smoking_history,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.756124,0.001055
smoking_history,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.889672,0.000416
smoking_history,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.769897,0.000848
smoking_history,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.699222,0.000093
smoking_history,comorbidity,BiomedCLIP,Support Devices,0.762927,0.762849,0.000078
cancer_history,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.705533,0.001932
cancer_history,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.846937,-0.000375
cancer_history,comorbidity,BiomedCLIP,Consolidation,0.899835,0.897763,0.002072
cancer_history,comorbidity,BiomedCLIP,Edema,0.889124,0.888547,0.000577
cancer_history,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.793168,0.003521
cancer_history,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.751548,0.005632
cancer_history,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.886002,0.004085
cancer_history,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.770018,0.000726
cancer_history,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.698455,0.000860
cancer_history,comorbidity,BiomedCLIP,Support Devices,0.762927,0.760949,0.001977
depression,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.711076,-0.003610
depression,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.846571,-0.000009
depression,comorbidity,BiomedCLIP,Consolidation,0.899835,0.899957,-0.000122
depression,comorbidity,BiomedCLIP,Edema,0.889124,0.888881,0.000243
depression,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.796584,0.000104
depression,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.756927,0.000252
depression,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.890246,-0.000158
depression,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.770564,0.000181
depression,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.698660,0.000656
depression,comorbidity,BiomedCLIP,Support Devices,0.762927,0.763214,-0.000287
sex,demographic,XRV-DenseNet-nih,Atelectasis,0.669331,0.666603,0.002728
sex,demographic,XRV-DenseNet-nih,Cardiomegaly,0.808379,0.808254,0.000124
sex,demographic,XRV-DenseNet-nih,Consolidation,0.771548,0.767175,0.004373
sex,demographic,XRV-DenseNet-nih,Edema,0.829618,0.829518,0.000099
sex,demographic,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.766096,0.767047,-0.000950
sex,demographic,XRV-DenseNet-nih,Lung Opacity,0.674079,0.673747,0.000332
sex,demographic,XRV-DenseNet-nih,Pleural Effusion,0.796819,0.797367,-0.000548
sex,demographic,XRV-DenseNet-nih,Pneumonia,0.692807,0.692197,0.000610
sex,demographic,XRV-DenseNet-nih,Pneumothorax,0.635648,0.640061,-0.004413
sex,demographic,XRV-DenseNet-nih,Support Devices,0.675283,0.674100,0.001183
age,demographic,XRV-DenseNet-nih,Atelectasis,0.669331,0.650694,0.018637
age,demographic,XRV-DenseNet-nih,Cardiomegaly,0.808379,0.783916,0.024463
age,demographic,XRV-DenseNet-nih,Consolidation,0.771548,0.765872,0.005677
age,demographic,XRV-DenseNet-nih,Edema,0.829618,0.819684,0.009934
age,demographic,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.766096,0.749185,0.016912
age,demographic,XRV-DenseNet-nih,Lung Opacity,0.674079,0.654523,0.019557
age,demographic,XRV-DenseNet-nih,Pleural Effusion,0.796819,0.772140,0.024679
age,demographic,XRV-DenseNet-nih,Pneumonia,0.692807,0.688284,0.004523
age,demographic,XRV-DenseNet-nih,Pneumothorax,0.635648,0.636273,-0.000625
age,demographic,XRV-DenseNet-nih,Support Devices,0.675283,0.671576,0.003707
bmi,demographic,XRV-DenseNet-nih,Atelectasis,0.669331,0.671480,-0.002149
bmi,demographic,XRV-DenseNet-nih,Cardiomegaly,0.808379,0.797282,0.011097
bmi,demographic,XRV-DenseNet-nih,Consolidation,0.771548,0.762358,0.009191
bmi,demographic,XRV-DenseNet-nih,Edema,0.829618,0.829937,-0.000319
bmi,demographic,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.766096,0.764208,0.001889
bmi,demographic,XRV-DenseNet-nih,Lung Opacity,0.674079,0.673446,0.000634
bmi,demographic,XRV-DenseNet-nih,Pleural Effusion,0.796819,0.796761,0.000058
bmi,demographic,XRV-DenseNet-nih,Pneumonia,0.692807,0.688099,0.004707
bmi,demographic,XRV-DenseNet-nih,Pneumothorax,0.635648,0.606320,0.029328
bmi,demographic,XRV-DenseNet-nih,Support Devices,0.675283,0.676735,-0.001453
hypertension,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.661058,-0.001060
hypertension,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.798952,0.005941
hypertension,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.791064,-0.000007
hypertension,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.831149,-0.000249
hypertension,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.764726,0.002478
hypertension,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.666449,0.000935
hypertension,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.791410,0.003040
hypertension,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.703148,0.000116
hypertension,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.628278,0.001965
hypertension,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.677981,0.001915
heart_failure,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.645241,0.014758
heart_failure,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.744977,0.059916
heart_failure,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.787889,0.003167
heart_failure,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.799869,0.031031
heart_failure,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.744845,0.022360
heart_failure,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.655765,0.011618
heart_failure,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.775884,0.018567
heart_failure,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.696796,0.006468
heart_failure,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.619878,0.010366
heart_failure,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.674056,0.005839
atrial_fibrillation,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.646465,0.013533
atrial_fibrillation,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.762447,0.042447
atrial_fibrillation,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.779519,0.011537
atrial_fibrillation,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.813701,0.017199
atrial_fibrillation,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.748626,0.018579
atrial_fibrillation,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.653751,0.013632
atrial_fibrillation,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.769372,0.025078
atrial_fibrillation,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.699422,0.003842
atrial_fibrillation,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.628159,0.002084
atrial_fibrillation,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.672526,0.007369
coronary_artery_disease,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.653105,0.006893
coronary_artery_disease,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.783056,0.021838
coronary_artery_disease,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.792156,-0.001099
coronary_artery_disease,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.822437,0.008463
coronary_artery_disease,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.762813,0.004392
coronary_artery_disease,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.662006,0.005377
coronary_artery_disease,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.788182,0.006268
coronary_artery_disease,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.702765,0.000499
coronary_artery_disease,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.623149,0.007095
coronary_artery_disease,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.682310,-0.002415
stroke,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.658442,0.001556
stroke,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.802971,0.001922
stroke,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.791667,-0.000610
stroke,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.828595,0.002305
stroke,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.765903,0.001302
stroke,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.667565,-0.000182
stroke,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.794372,0.000078
stroke,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.703815,-0.000552
stroke,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.628278,0.001965
stroke,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.673740,0.006156
diabetes,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.656592,0.003406
diabetes,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.789488,0.015405
diabetes,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.793921,-0.002864
diabetes,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.827235,0.003665
diabetes,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.765765,0.001440
diabetes,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.668998,-0.001615
diabetes,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.794794,-0.000344
diabetes,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.705230,-0.001966
diabetes,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.617638,0.012605
diabetes,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.677506,0.002390
hyperlipidemia,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.655014,0.004984
hyperlipidemia,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.788854,0.016039
hyperlipidemia,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.793570,-0.002513
hyperlipidemia,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.827361,0.003539
hyperlipidemia,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.762502,0.004703
hyperlipidemia,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.664173,0.003210
hyperlipidemia,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.791639,0.002811
hyperlipidemia,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.704074,-0.000811
hyperlipidemia,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.624464,0.005780
hyperlipidemia,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.678609,0.001287
obesity,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.658980,0.001018
obesity,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.791810,0.013084
obesity,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.790165,0.000892
obesity,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.829945,0.000955
obesity,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.762304,0.004901
obesity,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.667265,0.000119
obesity,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.795386,-0.000936
obesity,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.702312,0.000951
obesity,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.614048,0.016195
obesity,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.678974,0.000922
hypothyroidism,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.662692,-0.002694
hypothyroidism,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.802240,0.002654
hypothyroidism,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.791585,-0.000528
hypothyroidism,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.828048,0.002852
hypothyroidism,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.767048,0.000157
hypothyroidism,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.664153,0.003230
hypothyroidism,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.792121,0.002329
hypothyroidism,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.701835,0.001429
hypothyroidism,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.629551,0.000693
hypothyroidism,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.678847,0.001049
ckd,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.650647,0.009351
ckd,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.778326,0.026567
ckd,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.793251,-0.002194
ckd,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.818932,0.011968
ckd,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.759268,0.007937
ckd,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.668190,-0.000806
ckd,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.786494,0.007956
ckd,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.702381,0.000883
ckd,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.622391,0.007852
ckd,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.677399,0.002496
aki,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.651059,0.008939
aki,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.785214,0.019680
aki,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.779134,0.011923
aki,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.815235,0.015665
aki,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.758105,0.009100
aki,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.661822,0.005561
aki,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.778809,0.015641
aki,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.697090,0.006173
aki,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.623093,0.007151
aki,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.665373,0.014523
copd,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.658231,0.001767
copd,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.802284,0.002610
copd,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.787995,0.003061
copd,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.828059,0.002841
copd,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.763978,0.003227
copd,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.663874,0.003509
copd,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.792778,0.001672
copd,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.701716,0.001548
copd,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.630775,-0.000532
copd,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.676176,0.003720
asthma,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.659373,0.000625
asthma,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.804588,0.000305
asthma,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.789388,0.001669
asthma,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.830737,0.000163
asthma,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.767097,0.000108
asthma,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.668361,-0.000978
asthma,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.794028,0.000422
asthma,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.703177,0.000087
asthma,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.629389,0.000855
asthma,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.680325,-0.000430
respiratory_failure,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.660393,-0.000395
respiratory_failure,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.797849,0.007045
respiratory_failure,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.784321,0.006736
respiratory_failure,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.826129,0.004771
respiratory_failure,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.762370,0.004835
respiratory_failure,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.662768,0.004615
respiratory_failure,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.791135,0.003315
respiratory_failure,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.701612,0.001652
respiratory_failure,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.629167,0.001077
respiratory_failure,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.674995,0.004901
pulmonary_fibrosis,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.659876,0.000122
pulmonary_fibrosis,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.804229,0.000664
pulmonary_fibrosis,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.790834,0.000223
pulmonary_fibrosis,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.829462,0.001438
pulmonary_fibrosis,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.766542,0.000663
pulmonary_fibrosis,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.665286,0.002098
pulmonary_fibrosis,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.795511,-0.001061
pulmonary_fibrosis,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.701703,0.001561
pulmonary_fibrosis,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.629744,0.000499
pulmonary_fibrosis,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.679956,-0.000061
liver_disease,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.659652,0.000346
liver_disease,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.805417,-0.000523
liver_disease,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.791650,-0.000594
liver_disease,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.829243,0.001657
liver_disease,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.768662,-0.001457
liver_disease,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.668746,-0.001363
liver_disease,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.794213,0.000238
liver_disease,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.702215,0.001049
liver_disease,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.631768,-0.001525
liver_disease,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.675133,0.004763
anemia,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.647166,0.012832
anemia,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.793781,0.011112
anemia,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.782703,0.008354
anemia,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.823519,0.007381
anemia,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.754692,0.012513
anemia,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.661489,0.005895
anemia,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.778754,0.015696
anemia,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.695710,0.007554
anemia,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.627216,0.003028
anemia,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.675483,0.004413
smoking_history,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.659543,0.000455
smoking_history,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.803761,0.001132
smoking_history,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.791659,-0.000603
smoking_history,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.830919,-0.000019
smoking_history,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.767853,-0.000648
smoking_history,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.668038,-0.000655
smoking_history,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.794715,-0.000264
smoking_history,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.703172,0.000092
smoking_history,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.629937,0.000307
smoking_history,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.680159,-0.000264
cancer_history,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.658744,0.001254
cancer_history,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.805466,-0.000573
cancer_history,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.789424,0.001633
cancer_history,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.830759,0.000141
cancer_history,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.764930,0.002275
cancer_history,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.665365,0.002018
cancer_history,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.790937,0.003513
cancer_history,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.703029,0.000235
cancer_history,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.630257,-0.000013
cancer_history,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.679429,0.000467
depression,comorbidity,XRV-DenseNet-nih,Atelectasis,0.659998,0.661283,-0.001285
depression,comorbidity,XRV-DenseNet-nih,Cardiomegaly,0.804893,0.804699,0.000195
depression,comorbidity,XRV-DenseNet-nih,Consolidation,0.791057,0.791547,-0.000490
depression,comorbidity,XRV-DenseNet-nih,Edema,0.830900,0.830928,-0.000028
depression,comorbidity,XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.767212,-0.000007
depression,comorbidity,XRV-DenseNet-nih,Lung Opacity,0.667383,0.666606,0.000777
depression,comorbidity,XRV-DenseNet-nih,Pleural Effusion,0.794450,0.795035,-0.000585
depression,comorbidity,XRV-DenseNet-nih,Pneumonia,0.703264,0.703293,-0.000029
depression,comorbidity,XRV-DenseNet-nih,Pneumothorax,0.630243,0.628410,0.001834
depression,comorbidity,XRV-DenseNet-nih,Support Devices,0.679896,0.679697,0.000198
sex,demographic,CLIP-ViT-B16,Atelectasis,0.682187,0.684735,-0.002548
sex,demographic,CLIP-ViT-B16,Cardiomegaly,0.777432,0.777552,-0.000120
sex,demographic,CLIP-ViT-B16,Consolidation,0.830496,0.828847,0.001649
sex,demographic,CLIP-ViT-B16,Edema,0.851171,0.851118,0.000053
sex,demographic,CLIP-ViT-B16,Enlarged Cardiomediastinum,0.748612,0.749723,-0.001110
sex,demographic,CLIP-ViT-B16,Lung Opacity,0.705709,0.705703,0.000006
sex,demographic,CLIP-ViT-B16,Pleural Effusion,0.835109,0.835025,0.000084
sex,demographic,CLIP-ViT-B16,Pneumonia,0.706053,0.705577,0.000476
