attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop
obesity,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.850537,-0.000537
obesity,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.722527,0.000538
obesity,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.669302,0.007473
obesity,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.698762,0.000536
hypothyroidism,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.646389,-0.001175
hypothyroidism,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.781765,0.003471
hypothyroidism,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.826115,-0.000065
hypothyroidism,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.863472,0.004242
hypothyroidism,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.704097,-0.000317
hypothyroidism,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.646915,0.000148
hypothyroidism,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.847958,0.002041
hypothyroidism,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.721636,0.001429
hypothyroidism,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.676491,0.000283
hypothyroidism,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.697861,0.001437
ckd,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.640633,0.004581
ckd,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.752078,0.033159
ckd,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.825814,0.000236
ckd,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.854557,0.013158
ckd,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.694478,0.009301
ckd,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.645373,0.001690
ckd,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.843615,0.006385
ckd,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.722877,0.000188
ckd,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.674911,0.001863
ckd,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.697457,0.001841
aki,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.636723,0.008491
aki,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.761458,0.023778
aki,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.814830,0.011220
aki,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.848645,0.019069
aki,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.688085,0.015695
aki,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.639593,0.007471
aki,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.835679,0.014320
aki,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.715995,0.007070
aki,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.675864,0.000910
aki,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.684991,0.014307
copd,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.644525,0.000689
copd,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.781444,0.003792
copd,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.820661,0.005390
copd,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.860006,0.007709
copd,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.699055,0.004724
copd,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.637620,0.009443
copd,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.846554,0.003445
copd,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.720475,0.002590
copd,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.677075,-0.000301
copd,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.697541,0.001757
asthma,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.645311,-0.000096
asthma,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.785163,0.000074
asthma,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.824981,0.001069
asthma,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.867692,0.000022
asthma,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.704061,-0.000282
asthma,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.647541,-0.000477
asthma,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.849696,0.000304
asthma,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.723246,-0.000181
asthma,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.676191,0.000583
asthma,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.699539,-0.000241
respiratory_failure,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.644537,0.000677
respiratory_failure,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.776937,0.008299
respiratory_failure,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.819519,0.006531
respiratory_failure,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.860995,0.006720
respiratory_failure,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.696745,0.007035
respiratory_failure,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.643236,0.003827
respiratory_failure,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.845575,0.004424
respiratory_failure,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.721597,0.001468
respiratory_failure,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.676750,0.000024
respiratory_failure,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.695441,0.003857
pulmonary_fibrosis,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.645819,-0.000605
pulmonary_fibrosis,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.784945,0.000292
pulmonary_fibrosis,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.825928,0.000122
pulmonary_fibrosis,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.865203,0.002511
pulmonary_fibrosis,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.704277,-0.000498
pulmonary_fibrosis,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.643854,0.003209
pulmonary_fibrosis,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.851159,-0.001160
pulmonary_fibrosis,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.720727,0.002338
pulmonary_fibrosis,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.676834,-0.000059
pulmonary_fibrosis,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.699369,-0.000072
liver_disease,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.644543,0.000671
liver_disease,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.785229,0.000007
liver_disease,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.825959,0.000091
liver_disease,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.866006,0.001708
liver_disease,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.703980,-0.000201
liver_disease,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.647483,-0.000420
liver_disease,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.849059,0.000940
liver_disease,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.722363,0.000702
liver_disease,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.678035,-0.001260
liver_disease,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.696995,0.002303
anemia,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.637236,0.007978
anemia,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.770521,0.014715
anemia,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.814046,0.012004
anemia,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.857987,0.009727
anemia,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.687991,0.015788
anemia,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.639715,0.007348
anemia,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.836674,0.013325
anemia,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.715432,0.007633
anemia,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.677137,-0.000363
anemia,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.693591,0.005707
smoking_history,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.645397,-0.000183
smoking_history,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.784198,0.001039
smoking_history,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.826521,-0.000470
smoking_history,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.867714,0.000000
smoking_history,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.704625,-0.000845
