model,disease,baseline_auroc,linear_resid_auroc,mlp_resid_auroc,linear_drop,mlp_drop,extra_mlp_drop,linear_r2,mlp_r2
XRV-DenseNet-nih,Edema,0.7594949494949494,0.7494949494949494,0.5743434343434344,0.01,0.185151515151515,0.175151515151515,0.0955194686914691,-154.5929962061297
XRV-DenseNet-nih,Pleural Effusion,0.7978890728476822,0.7556291390728477,0.6906456953642384,0.0422599337748345,0.1072433774834438,0.0649834437086093,0.0955194686914691,-154.5929962061297
XRV-DenseNet-nih,Pneumonia,0.6124198717948718,0.6181891025641025,0.565625,-0.0057692307692307,0.0467948717948717,0.0525641025641024,0.0955194686914691,-154.5929962061297
XRV-DenseNet-nih,Pneumothorax,0.6077519379844961,0.5961240310077519,0.4772609819121447,0.0116279069767442,0.1304909560723514,0.1188630490956071,0.0955194686914691,-154.5929962061297
RAD-DINO,Cardiomegaly,0.872039987503905,0.8478600437363324,0.8316776007497657,0.0241799437675725,0.0403623867541392,0.0161824429865666,0.026322746473391,0.044415422369423
RAD-DINO,Edema,0.8842424242424243,0.8821212121212121,0.8834343434343435,0.0021212121212121,0.0008080808080808,-0.0013131313131313,0.026322746473391,0.044415422369423
RAD-DINO,Pleural Effusion,0.9008692052980132,0.8907698675496689,0.887251655629139,0.0100993377483443,0.0136175496688742,0.0035182119205299,0.026322746473391,0.044415422369423
RAD-DINO,Pneumonia,0.7899038461538462,0.7943910256410255,0.7766826923076923,-0.0044871794871792,0.0132211538461539,0.0177083333333332,0.026322746473391,0.044415422369423
RAD-DINO,Pneumothorax,0.6299741602067183,0.6276485788113695,0.6162790697674418,0.0023255813953487,0.0136950904392764,0.0113695090439276,0.026322746473391,0.044415422369423
BiomedCLIP,Cardiomegaly,0.8641674476726022,0.8244923461418309,0.8146829115901282,0.0396751015307713,0.049484536082474,0.0098094345517026,0.0597496615931333,0.0638508952394434
BiomedCLIP,Edema,0.8987878787878788,0.8888888888888888,0.8820202020202019,0.0098989898989899,0.0167676767676768,0.0068686868686869,0.0597496615931333,0.0638508952394434
BiomedCLIP,Pleural Effusion,0.8669288079470199,0.8415562913907285,0.8407284768211922,0.0253725165562913,0.0262003311258276,0.0008278145695362,0.0597496615931333,0.0638508952394434
BiomedCLIP,Pneumonia,0.7541666666666667,0.7420673076923077,0.7367788461538461,0.0120993589743589,0.0173878205128205,0.0052884615384615,0.0597496615931333,0.0638508952394434
BiomedCLIP,Pneumothorax,0.5521963824289406,0.5834625322997417,0.5793281653746769,-0.031266149870801,-0.0271317829457362,0.0041343669250647,0.0597496615931333,0.0638508952394434
CheXzero,Cardiomegaly,0.9061543267728834,0.8841611996251171,0.8775382692908467,0.0219931271477663,0.0286160574820367,0.0066229303342704,0.1383619463404294,0.1489600625728109
CheXzero,Edema,0.9178787878787876,0.9156565656565656,0.9153535353535354,0.002222222222222,0.0025252525252523,0.0003030303030303,0.1383619463404294,0.1489600625728109
CheXzero,Pleural Effusion,0.9302980132450333,0.9270281456953642,0.925248344370861,0.0032698675496689,0.0050496688741721,0.0017798013245031,0.1383619463404294,0.1489600625728109
CheXzero,Pneumonia,0.779326923076923,0.7762820512820513,0.7658653846153846,0.0030448717948716,0.0134615384615384,0.0104166666666667,0.1383619463404294,0.1489600625728109
CheXzero,Pneumothorax,0.703875968992248,0.7087855297157623,0.6987080103359173,-0.0049095607235142,0.0051679586563306,0.0100775193798449,0.1383619463404294,0.1489600625728109
CLIP-ViT-B16,Cardiomegaly,0.7895648484377371,0.7666827050319633,0.765812682998153,0.02288214340577377,0.02375216543958414,0.0008700220338103692,0.03073598033190222,0.03618706642384306
CLIP-ViT-B16,Consolidation,0.8568548397113438,0.8533482381289512,0.843970140726112,0.0035066015823925767,0.012884698985231813,0.009378097402839236,0.03073598033190222,0.03618706642384306
