model,strategy,n_attrs_removed,disease,dimension,overall_auroc,auroc_gap,auroc_Female,auroc_Male,auroc_<50,auroc_50-70,auroc_70+
DINOv2-base,baseline,0,Support Devices,Age,0.745245,0.063988,,,0.790709,0.729904,0.726721
DINOv2-base,top3,3,Atelectasis,Gender,0.674648,0.048514,0.647993,0.696508,,,
DINOv2-base,top3,3,Atelectasis,Age,0.674648,0.141468,,,0.746228,0.697380,0.604760
DINOv2-base,top3,3,Cardiomegaly,Gender,0.728687,0.007330,0.733306,0.725976,,,
DINOv2-base,top3,3,Cardiomegaly,Age,0.728687,0.050278,,,0.767618,0.743079,0.717340
DINOv2-base,top3,3,Consolidation,Gender,0.870982,0.022205,0.882301,0.860096,,,
DINOv2-base,top3,3,Consolidation,Age,0.870982,0.016803,,,0.874611,0.867543,0.884345
DINOv2-base,top3,3,Edema,Gender,0.857177,0.011999,0.850580,0.862579,,,
DINOv2-base,top3,3,Edema,Age,0.857177,0.031583,,,0.866257,0.876314,0.844730
DINOv2-base,top3,3,Enlarged Cardiomediastinum,Gender,0.733429,0.030096,0.752081,0.721985,,,
DINOv2-base,top3,3,Enlarged Cardiomediastinum,Age,0.733429,0.086068,,,0.733575,0.770842,0.684774
DINOv2-base,top3,3,Lung Opacity,Gender,0.693764,0.007126,0.697667,0.690541,,,
DINOv2-base,top3,3,Lung Opacity,Age,0.693764,0.061113,,,0.702986,0.728434,0.667321
DINOv2-base,top3,3,Pleural Effusion,Gender,0.856334,0.007541,0.860793,0.853252,,,
DINOv2-base,top3,3,Pleural Effusion,Age,0.856334,0.014963,,,0.865613,0.869258,0.854295
DINOv2-base,top3,3,Pneumonia,Gender,0.741228,0.006995,0.737681,0.744676,,,
DINOv2-base,top3,3,Pneumonia,Age,0.741228,0.018000,,,0.749868,0.745220,0.731868
DINOv2-base,top3,3,Pneumothorax,Gender,0.702405,0.027991,0.719115,0.691124,,,
DINOv2-base,top3,3,Pneumothorax,Age,0.702405,0.031312,,,0.719675,0.688362,0.702319
DINOv2-base,top3,3,Support Devices,Gender,0.735598,0.033528,0.716722,0.750250,,,
DINOv2-base,top3,3,Support Devices,Age,0.735598,0.066644,,,0.785220,0.723611,0.718576
DINOv2-base,all_confounders,9,Atelectasis,Gender,0.672722,0.042433,0.649434,0.691867,,,
DINOv2-base,all_confounders,9,Atelectasis,Age,0.672722,0.143483,,,0.746837,0.693004,0.603354
DINOv2-base,all_confounders,9,Cardiomegaly,Gender,0.725771,0.007310,0.730730,0.723420,,,
DINOv2-base,all_confounders,9,Cardiomegaly,Age,0.725771,0.045128,,,0.760086,0.739230,0.714958
DINOv2-base,all_confounders,9,Consolidation,Gender,0.858167,0.025503,0.871149,0.845647,,,
DINOv2-base,all_confounders,9,Consolidation,Age,0.858167,0.017526,,,0.861317,0.853977,0.871503
DINOv2-base,all_confounders,9,Edema,Gender,0.853932,0.012516,0.847050,0.859566,,,
DINOv2-base,all_confounders,9,Edema,Age,0.853932,0.025839,,,0.859481,0.869558,0.843719
DINOv2-base,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.729225,0.030803,0.748458,0.717655,,,
DINOv2-base,all_confounders,9,Enlarged Cardiomediastinum,Age,0.729225,0.079884,,,0.726977,0.765566,0.685682
DINOv2-base,all_confounders,9,Lung Opacity,Gender,0.692737,0.000489,0.692396,0.692885,,,
DINOv2-base,all_confounders,9,Lung Opacity,Age,0.692737,0.049742,,,0.690190,0.724759,0.675017
DINOv2-base,all_confounders,9,Pleural Effusion,Gender,0.850965,0.010729,0.857150,0.846421,,,
DINOv2-base,all_confounders,9,Pleural Effusion,Age,0.850965,0.017227,,,0.855380,0.863980,0.846753
DINOv2-base,all_confounders,9,Pneumonia,Gender,0.732732,0.011793,0.726592,0.738385,,,
DINOv2-base,all_confounders,9,Pneumonia,Age,0.732732,0.023471,,,0.743335,0.738215,0.719864
DINOv2-base,all_confounders,9,Pneumothorax,Gender,0.700527,0.028039,0.717173,0.689133,,,
DINOv2-base,all_confounders,9,Pneumothorax,Age,0.700527,0.037055,,,0.720427,0.683372,0.703004
DINOv2-base,all_confounders,9,Support Devices,Gender,0.729441,0.032132,0.711279,0.743410,,,
DINOv2-base,all_confounders,9,Support Devices,Age,0.729441,0.055048,,,0.770100,0.718831,0.715052
BiomedCLIP,baseline,0,Atelectasis,Gender,0.707465,0.024816,0.722777,0.697961,,,
BiomedCLIP,baseline,0,Atelectasis,Age,0.707465,0.089505,,,0.767957,0.695924,0.678452
BiomedCLIP,baseline,0,Cardiomegaly,Gender,0.846561,0.009133,0.851723,0.842589,,,
BiomedCLIP,baseline,0,Cardiomegaly,Age,0.846561,0.036943,,,0.855564,0.843745,0.818620
BiomedCLIP,baseline,0,Consolidation,Gender,0.899835,0.016260,0.907625,0.891365,,,
BiomedCLIP,baseline,0,Consolidation,Age,0.899835,0.029195,,,0.894470,0.911775,0.882580
BiomedCLIP,baseline,0,Edema,Gender,0.889124,0.005987,0.892435,0.886448,,,
BiomedCLIP,baseline,0,Edema,Age,0.889124,0.043475,,,0.908585,0.899082,0.865111
BiomedCLIP,baseline,0,Enlarged Cardiomediastinum,Gender,0.796689,0.024297,0.810402,0.786106,,,
BiomedCLIP,baseline,0,Enlarged Cardiomediastinum,Age,0.796689,0.093216,,,0.737140,0.830357,0.747335
BiomedCLIP,baseline,0,Lung Opacity,Gender,0.757180,0.017896,0.767350,0.749454,,,
BiomedCLIP,baseline,0,Lung Opacity,Age,0.757180,0.031633,,,0.757338,0.765084,0.733451
BiomedCLIP,baseline,0,Pleural Effusion,Gender,0.890088,0.013903,0.898128,0.884225,,,
BiomedCLIP,baseline,0,Pleural Effusion,Age,0.890088,0.034195,,,0.902485,0.887729,0.868290
BiomedCLIP,baseline,0,Pneumonia,Gender,0.770744,0.011891,0.764588,0.776479,,,
BiomedCLIP,baseline,0,Pneumonia,Age,0.770744,0.041323,,,0.783902,0.780760,0.742580
BiomedCLIP,baseline,0,Pneumothorax,Gender,0.699315,0.008874,0.704091,0.695217,,,
BiomedCLIP,baseline,0,Pneumothorax,Age,0.699315,0.047186,,,0.724328,0.704769,0.677143
BiomedCLIP,baseline,0,Support Devices,Gender,0.762927,0.003360,0.764770,0.761410,,,
BiomedCLIP,baseline,0,Support Devices,Age,0.762927,0.057402,,,0.794426,0.761826,0.737024
BiomedCLIP,top3,3,Atelectasis,Gender,0.682143,0.002001,0.682959,0.684960,,,
BiomedCLIP,top3,3,Atelectasis,Age,0.682143,0.097317,,,0.757870,0.681577,0.660553
BiomedCLIP,top3,3,Cardiomegaly,Gender,0.762754,0.007952,0.768054,0.760103,,,
BiomedCLIP,top3,3,Cardiomegaly,Age,0.762754,0.041381,,,0.807903,0.774056,0.766522
BiomedCLIP,top3,3,Consolidation,Gender,0.886921,0.017053,0.895212,0.878159,,,
BiomedCLIP,top3,3,Consolidation,Age,0.886921,0.027916,,,0.892393,0.904306,0.876391
BiomedCLIP,top3,3,Edema,Gender,0.856464,0.008272,0.851881,0.860153,,,
BiomedCLIP,top3,3,Edema,Age,0.856464,0.049327,,,0.889941,0.875220,0.840613
BiomedCLIP,top3,3,Enlarged Cardiomediastinum,Gender,0.758667,0.035588,0.778379,0.742791,,,
BiomedCLIP,top3,3,Enlarged Cardiomediastinum,Age,0.758667,0.100660,,,0.718501,0.813607,0.712947
BiomedCLIP,top3,3,Lung Opacity,Gender,0.732818,0.000159,0.732589,0.732748,,,
BiomedCLIP,top3,3,Lung Opacity,Age,0.732818,0.030786,,,0.742892,0.755317,0.724531
BiomedCLIP,top3,3,Pleural Effusion,Gender,0.857272,0.000759,0.857721,0.858481,,,
BiomedCLIP,top3,3,Pleural Effusion,Age,0.857272,0.036438,,,0.886680,0.875617,0.850243
BiomedCLIP,top3,3,Pneumonia,Gender,0.763430,0.010127,0.758152,0.768279,,,
BiomedCLIP,top3,3,Pneumonia,Age,0.763430,0.043454,,,0.782909,0.775232,0.739455
BiomedCLIP,top3,3,Pneumothorax,Gender,0.701681,0.012162,0.708465,0.696303,,,
BiomedCLIP,top3,3,Pneumothorax,Age,0.701681,0.044941,,,0.720697,0.703811,0.675756
BiomedCLIP,top3,3,Support Devices,Gender,0.755640,0.010792,0.761818,0.751026,,,
BiomedCLIP,top3,3,Support Devices,Age,0.755640,0.060018,,,0.792824,0.756941,0.732806
BiomedCLIP,all_confounders,9,Atelectasis,Gender,0.680165,0.006013,0.685071,0.679058,,,
BiomedCLIP,all_confounders,9,Atelectasis,Age,0.680165,0.105894,,,0.761989,0.678019,0.656094
BiomedCLIP,all_confounders,9,Cardiomegaly,Gender,0.761250,0.007032,0.766418,0.759387,,,
BiomedCLIP,all_confounders,9,Cardiomegaly,Age,0.761250,0.034083,,,0.801372,0.770234,0.767289
BiomedCLIP,all_confounders,9,Consolidation,Gender,0.876331,0.021834,0.886927,0.865093,,,
BiomedCLIP,all_confounders,9,Consolidation,Age,0.876331,0.036069,,,0.882146,0.896823,0.860754
BiomedCLIP,all_confounders,9,Edema,Gender,0.854261,0.011374,0.847996,0.859370,,,
BiomedCLIP,all_confounders,9,Edema,Age,0.854261,0.045570,,,0.885519,0.869184,0.839949
BiomedCLIP,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.753570,0.043180,0.777775,0.734595,,,
BiomedCLIP,all_confounders,9,Enlarged Cardiomediastinum,Age,0.753570,0.102444,,,0.712558,0.810434,0.707990
BiomedCLIP,all_confounders,9,Lung Opacity,Gender,0.732525,0.006881,0.728423,0.735304,,,
BiomedCLIP,all_confounders,9,Lung Opacity,Age,0.732525,0.017901,,,0.733674,0.750824,0.732923
BiomedCLIP,all_confounders,9,Pleural Effusion,Gender,0.851960,0.002051,0.853927,0.851875,,,
BiomedCLIP,all_confounders,9,Pleural Effusion,Age,0.851960,0.038097,,,0.880054,0.869925,0.841957
BiomedCLIP,all_confounders,9,Pneumonia,Gender,0.755206,0.013355,0.748134,0.761489,,,
BiomedCLIP,all_confounders,9,Pneumonia,Age,0.755206,0.048619,,,0.776578,0.767593,0.727959
BiomedCLIP,all_confounders,9,Pneumothorax,Gender,0.699358,0.007911,0.703600,0.695690,,,
BiomedCLIP,all_confounders,9,Pneumothorax,Age,0.699358,0.047521,,,0.720948,0.700498,0.673427
BiomedCLIP,all_confounders,9,Support Devices,Gender,0.748736,0.016272,0.758034,0.741763,,,
BiomedCLIP,all_confounders,9,Support Devices,Age,0.748736,0.056619,,,0.782082,0.749879,0.725464
XRV-DenseNet-nih,baseline,0,Atelectasis,Gender,0.659998,0.030418,0.644419,0.674837,,,
XRV-DenseNet-nih,baseline,0,Atelectasis,Age,0.659998,0.174909,,,0.774871,0.646500,0.599962
XRV-DenseNet-nih,baseline,0,Cardiomegaly,Gender,0.804893,0.006585,0.808744,0.802160,,,
XRV-DenseNet-nih,baseline,0,Cardiomegaly,Age,0.804893,0.062384,,,0.826658,0.805892,0.764273
XRV-DenseNet-nih,baseline,0,Consolidation,Gender,0.791057,0.031380,0.805756,0.774376,,,
XRV-DenseNet-nih,baseline,0,Consolidation,Age,0.791057,0.031355,,,0.784982,0.802799,0.771445
XRV-DenseNet-nih,baseline,0,Edema,Gender,0.830900,0.002856,0.832157,0.829301,,,
XRV-DenseNet-nih,baseline,0,Edema,Age,0.830900,0.056754,,,0.865168,0.832372,0.808414
XRV-DenseNet-nih,baseline,0,Enlarged Cardiomediastinum,Gender,0.767205,0.015488,0.776793,0.761306,,,
XRV-DenseNet-nih,baseline,0,Enlarged Cardiomediastinum,Age,0.767205,0.067061,,,0.726753,0.793814,0.728146
XRV-DenseNet-nih,baseline,0,Lung Opacity,Gender,0.667383,0.040851,0.690460,0.649608,,,
XRV-DenseNet-nih,baseline,0,Lung Opacity,Age,0.667383,0.078573,,,0.696133,0.678175,0.617559
XRV-DenseNet-nih,baseline,0,Pleural Effusion,Gender,0.794450,0.015130,0.802907,0.787777,,,
XRV-DenseNet-nih,baseline,0,Pleural Effusion,Age,0.794450,0.064874,,,0.821771,0.785861,0.756897
XRV-DenseNet-nih,baseline,0,Pneumonia,Gender,0.703264,0.012771,0.696389,0.709160,,,
XRV-DenseNet-nih,baseline,0,Pneumonia,Age,0.703264,0.031569,,,0.687780,0.717871,0.686302
XRV-DenseNet-nih,baseline,0,Pneumothorax,Gender,0.630243,0.038588,0.653778,0.615190,,,
XRV-DenseNet-nih,baseline,0,Pneumothorax,Age,0.630243,0.034212,,,0.652098,0.622553,0.617886
XRV-DenseNet-nih,baseline,0,Support Devices,Gender,0.679896,0.016596,0.670527,0.687123,,,
XRV-DenseNet-nih,baseline,0,Support Devices,Age,0.679896,0.109548,,,0.739000,0.676758,0.629453
XRV-DenseNet-nih,top3,3,Atelectasis,Gender,0.638053,0.042519,0.615934,0.658453,,,
XRV-DenseNet-nih,top3,3,Atelectasis,Age,0.638053,0.180687,,,0.765162,0.628968,0.584475
XRV-DenseNet-nih,top3,3,Cardiomegaly,Gender,0.731022,0.010004,0.725417,0.735421,,,
XRV-DenseNet-nih,top3,3,Cardiomegaly,Age,0.731022,0.065809,,,0.784281,0.745164,0.718473
XRV-DenseNet-nih,top3,3,Consolidation,Gender,0.778719,0.034430,0.794830,0.760400,,,
XRV-DenseNet-nih,top3,3,Consolidation,Age,0.778719,0.028099,,,0.782663,0.797312,0.769213
XRV-DenseNet-nih,top3,3,Edema,Gender,0.796401,0.009084,0.791140,0.800223,,,
XRV-DenseNet-nih,top3,3,Edema,Age,0.796401,0.056220,,,0.838068,0.809298,0.781848
XRV-DenseNet-nih,top3,3,Enlarged Cardiomediastinum,Gender,0.732292,0.020772,0.745206,0.724434,,,
XRV-DenseNet-nih,top3,3,Enlarged Cardiomediastinum,Age,0.732292,0.072288,,,0.713506,0.772295,0.700007
XRV-DenseNet-nih,top3,3,Lung Opacity,Gender,0.640426,0.020324,0.651543,0.631219,,,
XRV-DenseNet-nih,top3,3,Lung Opacity,Age,0.640426,0.071197,,,0.679384,0.665056,0.608187
XRV-DenseNet-nih,top3,3,Pleural Effusion,Gender,0.754432,0.007897,0.750155,0.758052,,,
XRV-DenseNet-nih,top3,3,Pleural Effusion,Age,0.754432,0.068933,,,0.803518,0.773844,0.734585
XRV-DenseNet-nih,top3,3,Pneumonia,Gender,0.694305,0.007944,0.689841,0.697786,,,
XRV-DenseNet-nih,top3,3,Pneumonia,Age,0.694305,0.029906,,,0.687524,0.710696,0.680790
XRV-DenseNet-nih,top3,3,Pneumothorax,Gender,0.622945,0.044548,0.649952,0.605404,,,
XRV-DenseNet-nih,top3,3,Pneumothorax,Age,0.622945,0.027968,,,0.642400,0.614433,0.614457
XRV-DenseNet-nih,top3,3,Support Devices,Gender,0.669359,0.014061,0.661612,0.675673,,,
XRV-DenseNet-nih,top3,3,Support Devices,Age,0.669359,0.116778,,,0.736917,0.668784,0.620140
XRV-DenseNet-nih,all_confounders,9,Atelectasis,Gender,0.635515,0.038584,0.615445,0.654030,,,
XRV-DenseNet-nih,all_confounders,9,Atelectasis,Age,0.635515,0.181998,,,0.765246,0.624210,0.583248
XRV-DenseNet-nih,all_confounders,9,Cardiomegaly,Gender,0.729223,0.010996,0.723146,0.734142,,,
XRV-DenseNet-nih,all_confounders,9,Cardiomegaly,Age,0.729223,0.059704,,,0.777153,0.741896,0.717450
XRV-DenseNet-nih,all_confounders,9,Consolidation,Gender,0.764988,0.038978,0.783375,0.744397,,,
XRV-DenseNet-nih,all_confounders,9,Consolidation,Age,0.764988,0.032485,,,0.771250,0.784486,0.752001
XRV-DenseNet-nih,all_confounders,9,Edema,Gender,0.794902,0.010727,0.788752,0.799479,,,
XRV-DenseNet-nih,all_confounders,9,Edema,Age,0.794902,0.053494,,,0.835616,0.803541,0.782122
XRV-DenseNet-nih,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.730608,0.023368,0.744807,0.721440,,,
XRV-DenseNet-nih,all_confounders,9,Enlarged Cardiomediastinum,Age,0.730608,0.072285,,,0.707046,0.771990,0.699704
XRV-DenseNet-nih,all_confounders,9,Lung Opacity,Gender,0.642950,0.015382,0.651393,0.636011,,,
XRV-DenseNet-nih,all_confounders,9,Lung Opacity,Age,0.642950,0.056832,,,0.674302,0.664892,0.617470
XRV-DenseNet-nih,all_confounders,9,Pleural Effusion,Gender,0.747510,0.005031,0.744861,0.749891,,,
XRV-DenseNet-nih,all_confounders,9,Pleural Effusion,Age,0.747510,0.072143,,,0.795120,0.767671,0.722976
XRV-DenseNet-nih,all_confounders,9,Pneumonia,Gender,0.687763,0.013125,0.680489,0.693615,,,
XRV-DenseNet-nih,all_confounders,9,Pneumonia,Age,0.687763,0.031118,,,0.682214,0.703999,0.672881
XRV-DenseNet-nih,all_confounders,9,Pneumothorax,Gender,0.616228,0.047466,0.644838,0.597372,,,
XRV-DenseNet-nih,all_confounders,9,Pneumothorax,Age,0.616228,0.022539,,,0.628429,0.605890,0.615874
XRV-DenseNet-nih,all_confounders,9,Support Devices,Gender,0.659956,0.008391,0.655286,0.663677,,,
XRV-DenseNet-nih,all_confounders,9,Support Devices,Age,0.659956,0.111482,,,0.721419,0.662314,0.609937
CLIP-ViT-B16,baseline,0,Atelectasis,Gender,0.695069,0.054645,0.665872,0.720517,,,
CLIP-ViT-B16,baseline,0,Atelectasis,Age,0.695069,0.132549,,,0.791682,0.659133,0.677982
CLIP-ViT-B16,baseline,0,Cardiomegaly,Gender,0.782114,0.013939,0.789855,0.775916,,,
CLIP-ViT-B16,baseline,0,Cardiomegaly,Age,0.782114,0.052554,,,0.798709,0.775625,0.746155
