attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop,log_or,abs_log_or,odds_ratio,erank,norm_erank,log_erank,abs_log_or_z,log_erank_z,interaction_z,predicted_drop,residual
pulmonary_fibrosis,comorbidity,CLIP-ViT-B16,Pneumonia,0.717162,0.714856,0.002306,0.3056945781038908,0.3056945781038908,1.3575676123485119,63.77312931303896,0.12455689318952921,4.155331930991456,0.5256452648552242,0.3557818495420743,0.18701504453322518,0.007621861221221661,-0.0053158612212216615
pulmonary_fibrosis,comorbidity,CLIP-ViT-B16,Pneumothorax,0.672665,0.67258,8.6e-05,-0.10461867232313529,0.10461867232313529,0.9006679067116622,63.77312931303896,0.12455689318952921,4.155331930991456,-0.5036690772856394,0.3557818495420743,-0.17919631587383475,0.0015394326473775525,-0.0014534326473775526
pulmonary_fibrosis,comorbidity,CLIP-ViT-B16,Support Devices,0.745818,0.745824,-6e-06,-0.18675272217974714,0.18675272217974714,0.8296488647853663,63.77312931303896,0.12455689318952921,4.155331930991456,-0.0832221064401915,0.3557818495420743,-0.029608914952078704,0.0040239396289256405,-0.0040299396289256405
liver_disease,comorbidity,CLIP-ViT-B16,Atelectasis,0.695069,0.6949,0.000169,0.06508672154869855,0.06508672154869855,1.0672515740804633,63.77312931303896,0.12455689318952921,4.155331930991456,-0.7060344663507114,0.3557818495420743,-0.25119424827870757,0.00034361425214719885,-0.00017461425214719886
liver_disease,comorbidity,CLIP-ViT-B16,Cardiomegaly,0.782114,0.782307,-0.000193,-0.029985320225422153,0.029985320225422153,0.9704597795747447,63.77312931303896,0.12455689318952921,4.155331930991456,-0.8857197233734283,0.3557818495420743,-0.3151230013576927,-0.0007181826128807708,0.0005251826128807708
liver_disease,comorbidity,CLIP-ViT-B16,Consolidation,0.845705,0.845472,0.000234,0.025595727484768776,0.025595727484768776,1.0259261108960833,63.77312931303896,0.12455689318952921,4.155331930991456,-0.9081901966336035,0.3557818495420743,-0.3231175878942836,-0.0008509652265391212,0.0010849652265391212
liver_disease,comorbidity,CLIP-ViT-B16,Edema,0.849966,0.848603,0.001363,0.12243701350744104,0.12243701350744104,1.1302479274792747,63.77312931303896,0.12455689318952921,4.155331930991456,-0.4124563879136814,0.3557818495420743,-0.14674449654737284,0.002078427049203578,-0.0007154270492035781
liver_disease,comorbidity,CLIP-ViT-B16,Enlarged Cardiomediastinum,0.762605,0.76287,-0.000264,-0.07315137111865574,0.07315137111865574,0.9294601259577832,63.77312931303896,0.12455689318952921,4.155331930991456,-0.6647512532553135,0.3557818495420743,-0.2365064303685873,0.0005875651859593885,-0.0008515651859593885
liver_disease,comorbidity,CLIP-ViT-B16,Lung Opacity,0.702691,0.702834,-0.000143,0.05607835149219869,0.05607835149219869,1.0576805513396357,63.77312931303896,0.12455689318952921,4.155331930991456,-0.7521486164397722,0.3557818495420743,-0.2676008258874544,7.111632544304098e-05,-0.00021411632544304099
liver_disease,comorbidity,CLIP-ViT-B16,Pleural Effusion,0.833583,0.832809,0.000774,0.21188681165990278,0.21188681165990278,1.2360079754694944,63.77312931303896,0.12455689318952921,4.155331930991456,0.045440145151426296,0.3557818495420743,0.016166778885434767,0.004784231138930539,-0.0040102311389305385
liver_disease,comorbidity,CLIP-ViT-B16,Pneumonia,0.717162,0.716633,0.000529,0.046923415945703366,0.046923415945703366,1.0480417427204036,63.77312931303896,0.12455689318952921,4.155331930991456,-0.7990130402144316,0.3557818495420743,-0.2842743372557263,-0.00020581512163157702,0.000734815121631577
liver_disease,comorbidity,CLIP-ViT-B16,Pneumothorax,0.672665,0.674331,-0.001665,-0.1380630582269061,0.1380630582269061,0.8710437635386925,63.77312931303896,0.12455689318952921,4.155331930991456,-0.3324661380713293,0.3557818495420743,-0.11828541751312818,0.0025511057648795986,-0.004216105764879598
liver_disease,comorbidity,CLIP-ViT-B16,Support Devices,0.745818,0.743536,0.002282,0.3752056563559756,0.3752056563559756,1.4552906736217108,63.77312931303896,0.12455689318952921,4.155331930991456,0.8814748183998465,0.3557818495420743,0.3136127412150615,0.00972453069282008,-0.007442530692820079
anemia,comorbidity,CLIP-ViT-B16,Atelectasis,0.695069,0.682901,0.012168,0.06980286979229607,0.06980286979229607,1.0722967783313173,63.77312931303896,0.12455689318952921,4.155331930991456,-0.6818923444592383,0.3557818495420743,-0.24260491950028903,0.00048627497882133223,0.011681725021178667
anemia,comorbidity,CLIP-ViT-B16,Cardiomegaly,0.782114,0.769925,0.012188,0.41315957249742064,0.41315957249742064,1.5115862142772476,63.77312931303896,0.12455689318952921,4.155331930991456,1.075762194965975,0.3557818495420743,0.3827366633924361,0.010872614463133761,0.0013153855368662377
anemia,comorbidity,CLIP-ViT-B16,Consolidation,0.845705,0.836578,0.009127,0.343529027688116,0.343529027688116,1.4099144484457544,63.77312931303896,0.12455689318952921,4.155331930991456,0.7193210880864312,0.3557818495420743,0.25592138713400786,0.008766331198035663,0.0003606688019643367
anemia,comorbidity,CLIP-ViT-B16,Edema,0.849966,0.840167,0.009799,0.4118141996975195,0.4118141996975195,1.5095539346932307,63.77312931303896,0.12455689318952921,4.155331930991456,1.0688751862361752,0.3557818495420743,0.38028639068873554,0.010831917722622673,-0.001032917722622673
anemia,comorbidity,CLIP-ViT-B16,Enlarged Cardiomediastinum,0.762605,0.748074,0.014532,0.137313183795794,0.137313183795794,1.1471873727617448,63.77312931303896,0.12455689318952921,4.155331930991456,-0.33630477057059055,0.3557818495420743,-0.11965113328342766,0.002528422501815925,0.012003577498184075
anemia,comorbidity,CLIP-ViT-B16,Lung Opacity,0.702691,0.69727,0.005421,0.17237566728008683,0.17237566728008683,1.1881240887316789,63.77312931303896,0.12455689318952921,4.155331930991456,-0.15681873527797277,0.3557818495420743,-0.05579325968004609,0.003589042124971247,0.0018319578750287525
anemia,comorbidity,CLIP-ViT-B16,Pleural Effusion,0.833583,0.819926,0.013658,0.5257526643489264,0.5257526643489264,1.691731675433278,63.77312931303896,0.12455689318952921,4.155331930991456,1.652130028887877,0.3557818495420743,0.5877978773617296,0.014278489654574015,-0.0006204896545740149
anemia,comorbidity,CLIP-ViT-B16,Pneumonia,0.717162,0.710582,0.006581,0.16833017706169862,0.16833017706169862,1.1833272536692239,63.77312931303896,0.12455689318952921,4.155331930991456,-0.17752773612324507,0.3557818495420743,-0.06316114630294545,0.0034666684114027947,0.0031143315885972054
anemia,comorbidity,CLIP-ViT-B16,Pneumothorax,0.672665,0.671552,0.001113,-0.28787988279590243,0.28787988279590243,0.749851656914291,63.77312931303896,0.12455689318952921,4.155331930991456,0.4344512388470771,0.3557818495420743,0.15456986529285857,0.0070829771050223665,-0.005969977105022366
anemia,comorbidity,CLIP-ViT-B16,Support Devices,0.745818,0.742021,0.003797,0.2891885342290291,0.2891885342290291,1.3353434627477425,63.77312931303896,0.12455689318952921,4.155331930991456,0.441150269662083,0.3557818495420743,0.15695325886636072,0.007122563045660779,-0.003325563045660779
smoking_history,comorbidity,CLIP-ViT-B16,Atelectasis,0.695069,0.695422,-0.000353,-0.08994845757521418,0.08994845757521418,0.91397829271461,63.77312931303896,0.12455689318952921,4.155331930991456,-0.578766401272265,0.3557818495420743,-0.20591458069745677,0.0010956672294339543,-0.0014486672294339543
smoking_history,comorbidity,CLIP-ViT-B16,Cardiomegaly,0.782114,0.780991,0.001123,-0.24209340263027967,0.24209340263027967,0.7849828546642574,63.77312931303896,0.12455689318952921,4.155331930991456,0.2000687029205163,0.3557818495420743,0.07118081316054509,0.005697962852947894,-0.004574962852947894
smoking_history,comorbidity,CLIP-ViT-B16,Consolidation,0.845705,0.846048,-0.000343,0.009165885927323147,0.009165885927323147,1.0092080212973462,63.77312931303896,0.12455689318952921,4.155331930991456,-0.9922951095942856,0.3557818495420743,-0.35304058938301025,-0.001347958326556294,0.001004958326556294
smoking_history,comorbidity,CLIP-ViT-B16,Edema,0.849966,0.849947,1.9e-05,-0.04438812992368306,0.04438812992368306,0.9565826070773267,63.77312931303896,0.12455689318952921,4.155331930991456,-0.8119912548531372,0.3557818495420743,-0.28889175046363896,-0.00028250604132843034,0.00030150604132843037
smoking_history,comorbidity,CLIP-ViT-B16,Enlarged Cardiomediastinum,0.762605,0.763448,-0.000843,-0.12220071886189997,0.12220071886189997,0.8849707203587517,63.77312931303896,0.12455689318952921,4.155331930991456,-0.41366598817226097,0.3557818495420743,-0.14717485036457684,0.0020712792743455975,-0.0029142792743455975
smoking_history,comorbidity,CLIP-ViT-B16,Lung Opacity,0.702691,0.70321,-0.00052,0.1077933254356631,0.1077933254356631,1.1138175238453272,63.77312931303896,0.12455689318952921,4.155331930991456,-0.4874179209506283,0.3557818495420743,-0.1734144494157671,0.0016354640477022472,-0.0021554640477022473
smoking_history,comorbidity,CLIP-ViT-B16,Pleural Effusion,0.833583,0.833446,0.000137,-0.26180941200150476,0.26180941200150476,0.7696576972500687,63.77312931303896,0.12455689318952921,4.155331930991456,0.30099561973228645,0.3557818495420743,0.10708877829241575,0.006294360607796128,-0.006157360607796128
smoking_history,comorbidity,CLIP-ViT-B16,Pneumonia,0.717162,0.717116,4.7e-05,0.025524250972527477,0.025524250972527477,1.0258527838964695,63.77312931303896,0.12455689318952921,4.155331930991456,-0.9085560873100149,0.3557818495420743,-0.32324776515586745,-0.0008531273492396359,0.0009001273492396358
smoking_history,comorbidity,CLIP-ViT-B16,Pneumothorax,0.672665,0.672362,0.000304,0.056428934812543685,0.056428934812543685,1.0580514215058372,63.77312931303896,0.12455689318952921,4.155331930991456,-0.7503539686009608,0.3557818495420743,-0.2669623227600854,8.17212658853067e-05,0.0002222787341146933
smoking_history,comorbidity,CLIP-ViT-B16,Support Devices,0.745818,0.745693,0.000125,0.13216977699848115,0.13216977699848115,1.1413020696593368,63.77312931303896,0.12455689318952921,4.155331930991456,-0.3626340434060513,0.3557818495420743,-0.1290186106699258,0.0023728374537247293,-0.002247837453724729
cancer_history,comorbidity,CLIP-ViT-B16,Atelectasis,0.695069,0.694366,0.000703,0.10944545502114306,0.10944545502114306,1.115659215667158,63.77312931303896,0.12455689318952921,4.155331930991456,-0.47896061389135297,0.3557818495420743,-0.1704054930680729,0.0016854400016058117,-0.0009824400016058116
cancer_history,comorbidity,CLIP-ViT-B16,Cardiomegaly,0.782114,0.783311,-0.001198,-0.17063225087465253,0.17063225087465253,0.843131577366425,63.77312931303896,0.12455689318952921,4.155331930991456,-0.1657433426468629,0.3557818495420743,-0.05896847299618665,0.0035363047981426185,-0.004734304798142619
cancer_history,comorbidity,CLIP-ViT-B16,Consolidation,0.845705,0.843627,0.002078,0.14174210473539017,0.14174210473539017,1.1522794428028704,63.77312931303896,0.12455689318952921,4.155331930991456,-0.3136329749338473,0.3557818495420743,-0.11158491989934723,0.002662394770495739,-0.0005843947704957391
cancer_history,comorbidity,CLIP-ViT-B16,Edema,0.849966,0.849747,0.000219,-0.066077938325283,0.066077938325283,0.9360579066629449,63.77312931303896,0.12455689318952921,4.155331930991456,-0.7009603942467096,0.3557818495420743,-0.24938898552083594,0.00037359798004021026,-0.00015459798004021025
cancer_history,comorbidity,CLIP-ViT-B16,Enlarged Cardiomediastinum,0.762605,0.760316,0.002289,0.13982766977755542,0.13982766977755542,1.1500755889968632,63.77312931303896,0.12455689318952921,4.155331930991456,-0.3234330320393652,0.3557818495420743,-0.11507160234196633,0.002604484232457449,-0.0003154842324574491
cancer_history,comorbidity,CLIP-ViT-B16,Lung Opacity,0.702691,0.69876,0.00393,0.14569041510696543,0.14569041510696543,1.1568379930414412,63.77312931303896,0.12455689318952921,4.155331930991456,-0.2934214410013969,0.3557818495420743,-0.10439402297477762,0.002781828850522511,0.0011481711494774893
cancer_history,comorbidity,CLIP-ViT-B16,Pleural Effusion,0.833583,0.830145,0.003438,0.2768611335843879,0.2768611335843879,1.3189831958481524,63.77312931303896,0.12455689318952921,4.155331930991456,0.3780458900718151,0.3557818495420743,0.13450186598153008,0.006749666384417111,-0.0033116663844171106
cancer_history,comorbidity,CLIP-ViT-B16,Pneumonia,0.717162,0.716904,0.000258,0.030654731384137233,0.030654731384137233,1.0311294257891466,63.77312931303896,0.12455689318952921,4.155331930991456,-0.8822929850788569,0.3557818495420743,-0.31390383006935346,-0.000697933316757454,0.000955933316757454
cancer_history,comorbidity,CLIP-ViT-B16,Pneumothorax,0.672665,0.672015,0.00065,0.3380976529740728,0.3380976529740728,1.402277433281242,63.77312931303896,0.12455689318952921,4.155331930991456,0.6915176977747067,0.3557818495420743,0.24602944550536232,0.008602035288848158,-0.007952035288848159
cancer_history,comorbidity,CLIP-ViT-B16,Support Devices,0.745818,0.74619,-0.000372,-0.07871227335586245,0.07871227335586245,0.924305833604337,63.77312931303896,0.12455689318952921,4.155331930991456,-0.6362848071847376,0.3557818495420743,-0.22637858553570805,0.0007557792269833777,-0.0011277792269833776
depression,comorbidity,CLIP-ViT-B16,Atelectasis,0.695069,0.695819,-0.00075,-0.04512228221530998,0.04512228221530998,0.9558805874903858,63.77312931303896,0.12455689318952921,4.155331930991456,-0.8082331045160643,0.3557818495420743,-0.287554668785858,-0.00026029836379090534,-0.0004897016362090947
