model,dimension,disease,subgroup,n,n_pos,prevalence,auroc,auroc_ci_lo,auroc_ci_hi,auprc,auprc_ci_lo,auprc_ci_hi,ece,brier,tpr,fpr,sufficient_data
XRV-DenseNet-nih,BMI,Pneumothorax,<25,2721,750,0.27563396,0.6549311686115338,0.6305107703878579,0.6767563691049273,0.40893791339172897,0.3773470652581434,0.443231852633029,0.2689434711255601,0.26239073,0.6466666666666666,0.4140030441400304,True
XRV-DenseNet-nih,BMI,Pneumothorax,25-30,1841,334,0.18142314,0.578116494284159,0.5393650231396677,0.6126604796920084,0.24478095461377433,0.21148804436651159,0.2846409830506351,0.2770779157125192,0.23003468,0.3532934131736527,0.205706702057067,True
XRV-DenseNet-nih,BMI,Pneumothorax,30+,2073,281,0.13555235,0.6000611654804271,0.5634153554865873,0.638674328569395,0.2111380438686119,0.17718368618367464,0.2612956311255217,0.247107038072239,0.18206498,0.18149466192170818,0.09486607142857142,True
BiomedCLIP,Gender,Cardiomegaly,Female,4246,3117,0.73410267,0.8465900162342967,0.8325047039182434,0.8584467715785469,0.9319268631543087,0.923276951991524,0.939976336281661,0.13900908876914098,0.15541086,0.8177735001604106,0.2843224092116918,True
BiomedCLIP,Gender,Cardiomegaly,Male,5177,3810,0.73594743,0.8366215653182343,0.8239075108776289,0.8484561812909615,0.9302544597625527,0.9222249603820716,0.9375011907066727,0.1663500013264169,0.1691662,0.7858267716535433,0.2809070958302853,True
BiomedCLIP,Gender,Consolidation,Female,1322,732,0.5537065,0.9099008983977032,0.8940807244843146,0.9260191157265056,0.9282978544997715,0.9101973748943034,0.9434689509768085,0.03651889734556292,0.11661977,0.8306010928961749,0.1271186440677966,True
BiomedCLIP,Gender,Consolidation,Male,1566,981,0.62643677,0.8944509788546487,0.8783871971284654,0.9092451729336125,0.9357235330912045,0.9227355632656516,0.947001302699072,0.05939659938730042,0.13117427,0.8063200815494393,0.17435897435897435,True
BiomedCLIP,Gender,Edema,Female,3807,2079,0.5460993,0.8895559708638413,0.8786844808865414,0.8994336038744164,0.8984354100591864,0.8854282204579095,0.9105127723015555,0.022510986868120853,0.13356735,0.8244348244348244,0.21585648148148148,True
BiomedCLIP,Gender,Edema,Male,4454,2338,0.5249214,0.8829968337696738,0.8733000623635656,0.8924855799914029,0.8853634395635166,0.873280912015946,0.8985072416679343,0.013606991854734253,0.13770564,0.8267750213857998,0.21833648393194707,True
BiomedCLIP,Gender,Enlarged Cardiomediastinum,Female,882,536,0.60770977,0.8076093520835131,0.7789913216248249,0.8352503428310204,0.8611504194302639,0.8299606997288758,0.8897076880782165,0.08506987299643406,0.18021877,0.7126865671641791,0.1936416184971098,True
BiomedCLIP,Gender,Enlarged Cardiomediastinum,Male,1124,639,0.56850535,0.7972669925624769,0.7716503936905394,0.8235466277824971,0.8436355815418515,0.8162638347233159,0.8704868976016901,0.05282062750800224,0.1838611,0.7057902973395931,0.24123711340206186,True
BiomedCLIP,Gender,Pleural Effusion,Female,5712,3893,0.68154764,0.8995312628197352,0.891322583915219,0.9082126851425825,0.9467872326694742,0.9407842153742206,0.9526529405975218,0.06590007011796914,0.12109232,0.851528384279476,0.21385376580538756,True
