model,attribute,disease,linear_drop,mlp_drop
DINOv2-base,age,Lung Opacity,0.02166487229778713,0.020716166375303824
DINOv2-base,age,Pleural Effusion,0.018738004026451316,0.01929032904968775
DINOv2-base,age,Pneumonia,0.0026461039786038754,0.0034367011734333097
DINOv2-base,age,Pneumothorax,-0.0025076563697928878,-0.0019711045364619872
DINOv2-base,age,Support Devices,0.006101916498429727,0.004859066565724435
DINOv2-base,bmi,Atelectasis,0.00030256927793126387,0.002134109327101119
DINOv2-base,bmi,Cardiomegaly,0.0099523759269593,0.00891792712702033
DINOv2-base,bmi,Consolidation,0.006753720041816957,0.00900333167238243
DINOv2-base,bmi,Edema,2.9245871079441876e-05,-1.315590964412472e-05
DINOv2-base,bmi,Enlarged Cardiomediastinum,-0.0004904891096090269,0.0005943774279635328
DINOv2-base,bmi,Lung Opacity,0.004071160133487739,0.005886014650825722
DINOv2-base,bmi,Pleural Effusion,0.0029598306061840995,0.004178315045059944
DINOv2-base,bmi,Pneumonia,0.004629989937179113,0.006548513856518223
DINOv2-base,bmi,Pneumothorax,0.01170632024521967,0.019678044915236503
DINOv2-base,bmi,Support Devices,8.683492244154767e-05,0.0019243551268591785
BiomedCLIP,age,Atelectasis,0.014426411430156771,0.009558100683324522
BiomedCLIP,age,Cardiomegaly,0.03400225983054039,0.007789740906079201
BiomedCLIP,age,Consolidation,0.006426947870477373,0.002748444311957421
BiomedCLIP,age,Edema,0.012191744741782529,0.004087414603071937
BiomedCLIP,age,Enlarged Cardiomediastinum,0.025846327162864502,0.014476278259978992
BiomedCLIP,age,Lung Opacity,0.021143883511704264,0.012334242953992991
BiomedCLIP,age,Pleural Effusion,0.02228364223891177,0.005157185921500607
BiomedCLIP,age,Pneumonia,0.005072758041915426,0.0007974116921989349
BiomedCLIP,age,Pneumothorax,-0.004779845557490114,-0.004886842582309203
BiomedCLIP,age,Support Devices,0.0047968539703902024,0.003006883692238671
BiomedCLIP,bmi,Atelectasis,-0.00014986189941412764,0.0018533553889579224
BiomedCLIP,bmi,Cardiomegaly,0.010170587742175163,0.005316211347321853
BiomedCLIP,bmi,Consolidation,0.006632405480487269,0.006972737605560053
BiomedCLIP,bmi,Edema,-3.889984794058776e-05,-7.212088596264543e-05
BiomedCLIP,bmi,Enlarged Cardiomediastinum,0.0007970448031147104,0.0017235242323758726
BiomedCLIP,bmi,Lung Opacity,0.004073389684491668,0.004423429192135564
BiomedCLIP,bmi,Pleural Effusion,0.0020233815523147403,0.001288663084473951
BiomedCLIP,bmi,Pneumonia,0.0040657483147846785,0.002770518528834698
BiomedCLIP,bmi,Pneumothorax,0.013676974511889206,0.012064835859902256
BiomedCLIP,bmi,Support Devices,-0.001032985906225914,0.000928084657638717
CLIP-ViT-B16,age,Atelectasis,0.014442092312145993,0.0158551810237203
CLIP-ViT-B16,age,Cardiomegaly,0.033183279474964245,0.031781296154401506
CLIP-ViT-B16,age,Consolidation,0.005863546596117208,0.005396032840232934
CLIP-ViT-B16,age,Edema,0.01485692753167045,0.015075138930868981
CLIP-ViT-B16,age,Enlarged Cardiomediastinum,0.022242363724812475,0.022042655605909234
CLIP-ViT-B16,age,Lung Opacity,0.019215025796273322,0.017319479384300562
CLIP-ViT-B16,age,Pleural Effusion,0.023833577134421025,0.02297469565161736
CLIP-ViT-B16,age,Pneumonia,0.0038034135318824047,0.0032684177383908164
CLIP-ViT-B16,age,Pneumothorax,-0.005053835354895009,-0.0031616192363878026
CLIP-ViT-B16,age,Support Devices,0.004009119840735709,0.004395013178555507
CLIP-ViT-B16,bmi,Atelectasis,-0.001851458402889361,-0.002583695025343724
CLIP-ViT-B16,bmi,Cardiomegaly,0.011624006844598522,0.009965217235604618
CLIP-ViT-B16,bmi,Consolidation,0.00711115019231201,0.009648171488309876
CLIP-ViT-B16,bmi,Edema,-0.00037858732788698113,-0.00038682160226877205
CLIP-ViT-B16,bmi,Enlarged Cardiomediastinum,0.0010559140554082802,0.0017609921504712078
CLIP-ViT-B16,bmi,Lung Opacity,0.0030749967448555626,0.0036207908306593595
CLIP-ViT-B16,bmi,Pleural Effusion,0.0009728151525293383,0.002628837470923573
CLIP-ViT-B16,bmi,Pneumonia,0.0028780418870043567,0.00551407088212863
CLIP-ViT-B16,bmi,Pneumothorax,0.017364583550541823,0.022916501588228333
