model,fusion,disease,auroc_mean,auroc_std,n_seeds,tier1
BiomedCLIP,Metadata-Only,Edema,0.6699529558603984,0.0009528703377859684,5,True
BiomedCLIP,Metadata-Only,Enlarged Cardiomediastinum,0.6680256036049876,0.002737712850688077,5,True
BiomedCLIP,Metadata-Only,Lung Opacity,0.5959100648104719,0.004904337192496879,5,False
BiomedCLIP,Metadata-Only,Pleural Effusion,0.6703540162466106,0.0008237996672348395,5,True
BiomedCLIP,Metadata-Only,Pneumonia,0.6005281350961399,0.0011997145264873892,5,True
BiomedCLIP,Metadata-Only,Pneumothorax,0.6426654829717598,0.004252229969400627,5,True
BiomedCLIP,Metadata-Only,Support Devices,0.6091764804845223,0.003989141684430241,5,False
BiomedCLIP,Metadata-Only,MEAN,0.6464994885590066,0.0012288188337787646,5,True
BiomedCLIP,Late Fusion,Atelectasis,0.7314183357759323,0.003226959921926705,5,False
BiomedCLIP,Late Fusion,Cardiomegaly,0.8514714347055188,0.0007425853915153781,5,True
BiomedCLIP,Late Fusion,Consolidation,0.902849995652768,0.0011110195728962918,5,True
BiomedCLIP,Late Fusion,Edema,0.8879992918289166,0.0007297523903421985,5,True
BiomedCLIP,Late Fusion,Enlarged Cardiomediastinum,0.8047850065289193,0.0014653802787234697,5,True
BiomedCLIP,Late Fusion,Lung Opacity,0.7637219119089241,0.0005571577618201756,5,False
BiomedCLIP,Late Fusion,Pleural Effusion,0.8920913382937432,0.0011098389755108472,5,True
BiomedCLIP,Late Fusion,Pneumonia,0.7726804490453467,0.0008834283403894147,5,True
BiomedCLIP,Late Fusion,Pneumothorax,0.7154343070062593,0.0023203633200067813,5,True
BiomedCLIP,Late Fusion,Support Devices,0.761416712230821,0.001835797076339623,5,False
BiomedCLIP,Late Fusion,MEAN,0.8083868782977148,0.000751193895508354,5,True
CLIP-ViT-B16,CXR-Only,Atelectasis,0.7230454685266605,0.002895567970106901,5,False
CLIP-ViT-B16,CXR-Only,Cardiomegaly,0.7888500972134309,0.001724321986276122,5,True
CLIP-ViT-B16,CXR-Only,Consolidation,0.8584048390903106,0.0009681004775117249,5,True
CLIP-ViT-B16,CXR-Only,Edema,0.8543877571213482,0.0012677949185802028,5,True
CLIP-ViT-B16,CXR-Only,Enlarged Cardiomediastinum,0.7791923598842716,0.0015542670430103627,5,True
CLIP-ViT-B16,CXR-Only,Lung Opacity,0.728230503560312,0.004248246814018987,5,False
CLIP-ViT-B16,CXR-Only,Pleural Effusion,0.8422646691333601,0.000799479824661097,5,True
CLIP-ViT-B16,CXR-Only,Pneumonia,0.7289446699773574,0.001622789855297227,5,True
CLIP-ViT-B16,CXR-Only,Pneumothorax,0.6727382732044153,0.0020257485673172747,5,True
CLIP-ViT-B16,CXR-Only,Support Devices,0.7505010129262001,0.002104743216873453,5,False
CLIP-ViT-B16,CXR-Only,MEAN,0.7726559650637667,0.0011477444123313193,5,True
CLIP-ViT-B16,Metadata-Only,Atelectasis,0.577850573256859,0.003589889749957745,5,False
CLIP-ViT-B16,Metadata-Only,Cardiomegaly,0.7590051979804036,0.0009198227924866124,5,True
CLIP-ViT-B16,Metadata-Only,Consolidation,0.6715263752779124,0.0032492777990584787,5,True
CLIP-ViT-B16,Metadata-Only,Edema,0.6699529558603984,0.0009528703377859684,5,True
CLIP-ViT-B16,Metadata-Only,Enlarged Cardiomediastinum,0.6680256036049876,0.002737712850688077,5,True
CLIP-ViT-B16,Metadata-Only,Lung Opacity,0.5959100648104719,0.004904337192496879,5,False
CLIP-ViT-B16,Metadata-Only,Pleural Effusion,0.6703540162466106,0.0008237996672348395,5,True
CLIP-ViT-B16,Metadata-Only,Pneumonia,0.6005281350961399,0.0011997145264873892,5,True
CLIP-ViT-B16,Metadata-Only,Pneumothorax,0.6426654829717598,0.004252229969400627,5,True
CLIP-ViT-B16,Metadata-Only,Support Devices,0.6091764804845223,0.003989141684430241,5,False
CLIP-ViT-B16,Metadata-Only,MEAN,0.6464994885590066,0.0012288188337787646,5,True
CLIP-ViT-B16,Late Fusion,Atelectasis,0.7295473049991859,0.006609256662703157,5,False
CLIP-ViT-B16,Late Fusion,Cardiomegaly,0.8208803610824237,0.0008285271283626858,5,True
CLIP-ViT-B16,Late Fusion,Consolidation,0.8624183030890189,0.0014510020418986452,5,True
CLIP-ViT-B16,Late Fusion,Edema,0.8583962916901564,0.001370950402627001,5,True
