model,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
XRV-DenseNet-nih,Support Devices,Race,0.05900986874395797,0.030167180156482325,0.22061892888724402,0.07837866860202469,0.14667817083692836,0.14667817083692836,0.07837866860202469,0.009132286735706315
CLIP-ViT-B16,Atelectasis,Gender,0.05464533138383609,0.0036792806010979675,0.12436739307275108,0.023764912733185928,0.11695238095238092,0.11695238095238092,0.023764912733185928,0.0020200436260565703
CLIP-ViT-B16,Atelectasis,Age,0.1325490780333275,0.061428637835325685,0.21944282419892636,0.10036325635385746,0.21825396825396826,0.21825396825396826,0.10036325635385746,0.012728422245075142
CLIP-ViT-B16,Atelectasis,Race,0.1559351285071059,0.035648549632256304,0.364292249176782,0.04023047155190196,0.3297297297297297,0.3297297297297297,0.04023047155190196,0.01139466006723799
CLIP-ViT-B16,Cardiomegaly,Gender,0.01393903975995947,0.0009303410643109134,0.036438470735658306,0.027974859735410806,0.01767008370789902,0.01767008370789902,0.027974859735410806,0.0034734610194821353
CLIP-ViT-B16,Cardiomegaly,Age,0.05255413489636229,0.02601062939317734,0.08182026845775972,0.09323062122875425,0.19023446189438087,0.19023446189438087,0.09323062122875425,0.046857064430699855
CLIP-ViT-B16,Cardiomegaly,Race,0.024764055837035337,0.014047828828466745,0.09775837789570194,0.10449496616425391,0.07372742200328408,0.07372742200328408,0.10449496616425391,0.042190562074223906
CLIP-ViT-B16,Consolidation,Gender,0.00503245704550348,0.000289360653358231,0.03276644533877595,0.051557460603933736,0.0405910473707084,0.0405910473707084,0.051557460603933736,0.01422162245787829
CLIP-ViT-B16,Consolidation,Age,0.012290447492273704,0.0044470151843684245,0.05486130237333627,0.11933768056748784,0.07738927738927737,0.07738927738927737,0.11933768056748784,0.011281693757327339
CLIP-ViT-B16,Consolidation,Race,0.043764080925556614,0.019844882071861306,0.14050571352076766,0.07066371681415928,0.10300399614165634,0.10300399614165634,0.07066371681415928,0.06345180836620762
CLIP-ViT-B16,Edema,Gender,0.015342889745313726,0.0008945208209194921,0.031074758045406863,0.01697614871267572,0.017506607505425986,0.017506607505425986,0.01697614871267572,0.007039512689749224
CLIP-ViT-B16,Edema,Age,0.03845194808657515,0.0185478511653397,0.06322839998854837,0.04737094617905813,0.1013829192588056,0.1013829192588056,0.04737094617905813,0.021319641926991883
CLIP-ViT-B16,Edema,Race,0.034136178155252384,0.016327977297521872,0.09066040638869852,0.0813235169670814,0.10559740067936785,0.10559740067936785,0.0813235169670814,0.06718027100516877
CLIP-ViT-B16,Enlarged Cardiomediastinum,Gender,0.023419200879263302,0.0013194832251891442,0.06477020710924919,0.004128418938172951,0.026887551397413723,0.026887551397413723,0.004128418938172951,0.0022929010417978776
CLIP-ViT-B16,Enlarged Cardiomediastinum,Age,0.07189755664024233,0.030933644739416545,0.12702944037165698,0.22555043522785456,0.28365045806906275,0.28365045806906275,0.22555043522785456,0.05297671880969118
CLIP-ViT-B16,Enlarged Cardiomediastinum,Race,0.012398799966955032,0.021099696734408455,0.19198838364799634,0.06905660377358491,0.07322551662174304,0.07322551662174304,0.06905660377358491,0.08842079756780771
CLIP-ViT-B16,Lung Opacity,Gender,0.033754732890245,0.0020767859686417396,0.07869113180458755,0.009137389323702005,0.04699550574266209,0.04699550574266209,0.009137389323702005,0.005743655417632451
CLIP-ViT-B16,Lung Opacity,Age,0.047070938267167906,0.012956396674657747,0.10486361174716335,0.1412230738681841,0.23691954710958152,0.23691954710958152,0.1412230738681841,0.019220342974873617
CLIP-ViT-B16,Lung Opacity,Race,0.08950366825372535,0.030198522678209806,0.23521790616419536,0.03823392130450454,0.19383561643835623,0.19383561643835623,0.03823392130450454,0.013190737533953195
CLIP-ViT-B16,Pleural Effusion,Gender,0.016701338977738844,0.0029063364143937674,0.0324473260642061,0.043632635613562676,0.010484289162075666,0.010484289162075666,0.043632635613562676,0.008774582184219549
CLIP-ViT-B16,Pleural Effusion,Age,0.0368563642157117,0.01706731894473699,0.058040740164494176,0.13884945398511495,0.22700738197857173,0.22700738197857173,0.13884945398511495,0.016097055350203032
CLIP-ViT-B16,Pleural Effusion,Race,0.025747362120781103,0.01158812659051229,0.0694368795809093,0.08325910364469702,0.07713094810737497,0.07713094810737497,0.08325910364469702,0.03073560132384079
CLIP-ViT-B16,Pneumonia,Gender,0.006461479048058494,0.00038988061843891477,0.032626268247564545,0.0499641104754559,0.053300444494776444,0.053300444494776444,0.0499641104754559,0.0009744360390430383
CLIP-ViT-B16,Pneumonia,Age,0.008533883039642531,0.0050829525174841015,0.04865753890096494,0.14630582751405896,0.1661123172856025,0.1661123172856025,0.14630582751405896,0.014204202112602825
