model,disease,race_group,n,auroc,brier,mean_pred,prevalence,calib_gap
DINOv2-base,Consolidation,Other,236,0.8796316281746888,0.1363496047082628,0.4792587398413238,0.4788135588169098,0.00044518102441398755
DINOv2-base,Edema,White,5718,0.8910879977856508,0.13023682767156106,0.5492572604401624,0.5475690960884094,0.0016881643517530076
DINOv2-base,Edema,Black,1093,0.8805954653538296,0.139698133890531,0.5017135563817431,0.5077767372131348,-0.006063180831391679
DINOv2-base,Edema,Asian,228,0.8804188804188804,0.13760340580672004,0.5040171934892009,0.5131579041481018,-0.009140710658900875
DINOv2-base,Edema,Other,685,0.867190845709783,0.1488089979693343,0.4793955597871299,0.4656934440135956,0.013702115773534307
DINOv2-base,Enlarged Cardiomediastinum,White,1346,0.7672886607473177,0.19403175645341958,0.6050261308970217,0.6062406897544861,-0.001214558857464354
DINOv2-base,Enlarged Cardiomediastinum,Black,223,0.7843042071197411,0.1907336576853136,0.5591918534727404,0.5381165742874146,0.021075279185325813
DINOv2-base,Enlarged Cardiomediastinum,Asian,71,0.7552380952380953,0.19510344237026994,0.5995576225397024,0.7042253613471985,-0.10466773880749614
DINOv2-base,Enlarged Cardiomediastinum,Other,194,0.774442538593482,0.19669313438428634,0.5581836253407542,0.5463917255401611,0.011791899800593031
DINOv2-base,Lung Opacity,White,5827,0.7101799260001732,0.04704476737687688,0.9491417774768972,0.9498884677886963,-0.0007466903117990809
DINOv2-base,Lung Opacity,Black,1098,0.6896856581532416,0.06628495861769587,0.9418654646682176,0.9271402359008789,0.014725228767338727
DINOv2-base,Lung Opacity,Asian,293,0.7388489208633093,0.04670919326096919,0.9447091193635476,0.9488054513931274,-0.004096332029579819
DINOv2-base,Lung Opacity,Other,681,0.7534551135680807,0.06489166067884906,0.9432351153129985,0.922173261642456,0.021061853670542474
DINOv2-base,Pleural Effusion,White,9135,0.8819331260463782,0.12019439755329005,0.7002432192362166,0.706184983253479,-0.00594176401726243
DINOv2-base,Pleural Effusion,Black,1390,0.8551292173942574,0.1517340487273325,0.5880032960739229,0.5784172415733337,0.009586054500589136
DINOv2-base,Pleural Effusion,Asian,387,0.8682035667681601,0.12367115739067622,0.6862461205149797,0.6873385310173035,-0.0010924105023237818
DINOv2-base,Pleural Effusion,Other,1046,0.8869283675307009,0.12878664693638336,0.6138243684075328,0.6070745587348938,0.006749809672639051
