attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop,log_or,abs_log_or,odds_ratio,erank,norm_erank,log_erank
aki,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.759947,0.013755,0.1124779270795141,0.1124779270795141,1.1190475559924475,91.37791693219594,0.1189816626721301,4.515003840210997
aki,comorbidity,DINOv2-base,Lung Opacity,0.7188,0.713085,0.005715,0.1920572780814203,0.1920572780814203,1.2117399211150752,91.37791693219594,0.1189816626721301,4.515003840210997
aki,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.872775,0.010898,0.5304654026001534,0.5304654026001534,1.699723180155026,91.37791693219594,0.1189816626721301,4.515003840210997
aki,comorbidity,DINOv2-base,Pneumonia,0.745943,0.739959,0.005984,0.2192049639951816,0.2192049639951816,1.2450864484289446,91.37791693219594,0.1189816626721301,4.515003840210997
aki,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.700625,0.001582,-0.3710495167477511,0.3710495167477511,0.6900097736729459,91.37791693219594,0.1189816626721301,4.515003840210997
aki,comorbidity,DINOv2-base,Support Devices,0.745245,0.734419,0.010826,0.5168521298985904,0.5168521298985904,1.6767411700915515,91.37791693219594,0.1189816626721301,4.515003840210997
copd,comorbidity,DINOv2-base,Atelectasis,0.696113,0.694113,0.002,-0.0711446150633008,0.0711446150633008,0.931327198446702,91.37791693219594,0.1189816626721301,4.515003840210997
copd,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.809244,0.003981,0.2149035604066176,0.2149035604066176,1.2397423309544096,91.37791693219594,0.1189816626721301,4.515003840210997
copd,comorbidity,DINOv2-base,Consolidation,0.88276,0.877388,0.005372,0.177174686175407,0.177174686175407,1.1938396221906862,91.37791693219594,0.1189816626721301,4.515003840210997
copd,comorbidity,DINOv2-base,Edema,0.889433,0.882401,0.007032,0.3024748718448196,0.3024748718448196,1.353203672482073,91.37791693219594,0.1189816626721301,4.515003840210997
copd,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.766485,0.007217,0.0617646285138854,0.0617646285138854,1.0637119477990895,91.37791693219594,0.1189816626721301,4.515003840210997
copd,comorbidity,DINOv2-base,Lung Opacity,0.7188,0.703859,0.014941,0.2243858658601141,0.2243858658601141,1.2515538581728407,91.37791693219594,0.1189816626721301,4.515003840210997
copd,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.881034,0.002639,0.2276760827331979,0.2276760827331979,1.2556785235954864,91.37791693219594,0.1189816626721301,4.515003840210997
copd,comorbidity,DINOv2-base,Pneumonia,0.745943,0.743923,0.00202,0.1601132993020019,0.1601132993020019,1.173643836486692,91.37791693219594,0.1189816626721301,4.515003840210997
copd,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.702531,-0.000324,0.2409736914772437,0.2409736914772437,1.2724875575999903,91.37791693219594,0.1189816626721301,4.515003840210997
copd,comorbidity,DINOv2-base,Support Devices,0.745245,0.74378,0.001465,0.1025442494586099,0.1025442494586099,1.107986328620283,91.37791693219594,0.1189816626721301,4.515003840210997
asthma,comorbidity,DINOv2-base,Atelectasis,0.696113,0.69575,0.000363,-0.0653139965898682,0.0653139965898682,0.9367732735791404,91.37791693219594,0.1189816626721301,4.515003840210997
asthma,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.813053,0.000171,0.1340556078470783,0.1340556078470783,1.1434564030255632,91.37791693219594,0.1189816626721301,4.515003840210997
asthma,comorbidity,DINOv2-base,Consolidation,0.88276,0.881794,0.000967,-0.1704364143752287,0.1704364143752287,0.8432967094720091,91.37791693219594,0.1189816626721301,4.515003840210997
asthma,comorbidity,DINOv2-base,Edema,0.889433,0.889373,6.1e-05,-0.0441815607529702,0.0441815607529702,0.9567802279636776,91.37791693219594,0.1189816626721301,4.515003840210997
asthma,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.77352,0.000182,0.0035892986083156,0.0035892986083156,1.003595747854347,91.37791693219594,0.1189816626721301,4.515003840210997
