model,attribute,disease,auroc_baseline,auroc_residualized,auroc_drop
DINOv2-base,bmi,Pneumonia,0.5091040843214756,0.506943346508564,0.002160737812911595
DINOv2-base,bmi,Pneumothorax,0.5101668856375939,0.509703441549442,0.00046344408815190974
DINOv2-base,bmi,Support Devices,0.5053130956416295,0.5071689312587557,-0.0018558356171262114
BiomedCLIP,sex,Atelectasis,0.5765304204839088,0.5794550152689687,-0.0029245947850599086
BiomedCLIP,sex,Cardiomegaly,0.5245896276846117,0.5235822990358743,0.0010073286487374267
BiomedCLIP,sex,Consolidation,0.5157209726789729,0.515478468583461,0.00024250409551185292
BiomedCLIP,sex,Edema,0.5157771439153299,0.5144417023962268,0.0013354415191031421
BiomedCLIP,sex,Enlarged Cardiomediastinum,0.5201543110307513,0.5203247669751498,-0.00017045594439857314
BiomedCLIP,sex,Lung Opacity,0.5136215932244528,0.5138039479315035,-0.00018235470705074697
BiomedCLIP,sex,Pleural Effusion,0.5306947983214663,0.5305759993163317,0.00011879900513456221
BiomedCLIP,sex,Pneumonia,0.48410187192990217,0.48297782891534274,0.0011240430145594282
BiomedCLIP,sex,Pneumothorax,0.5209087681610041,0.5202886765786647,0.0006200915823393327
BiomedCLIP,sex,Support Devices,0.521161731948623,0.5216902192779449,-0.0005284873293218695
BiomedCLIP,race_black_vs_white,Atelectasis,0.5881039479310181,0.591031640457979,-0.002927692526960901
BiomedCLIP,race_black_vs_white,Cardiomegaly,0.5185924730042619,0.5181147281326348,0.000477744871627106
BiomedCLIP,race_black_vs_white,Consolidation,0.5155777722521843,0.5155585660513251,1.9206200859156475e-05
BiomedCLIP,race_black_vs_white,Edema,0.5081016232793789,0.508276760067903,-0.00017513678852409953
BiomedCLIP,race_black_vs_white,Enlarged Cardiomediastinum,0.5178791340198825,0.5169543896910529,0.0009247443288296076
BiomedCLIP,race_black_vs_white,Lung Opacity,0.5089991036994848,0.508802078024124,0.00019702567536072912
BiomedCLIP,race_black_vs_white,Pleural Effusion,0.5290296375742001,0.5285763644308207,0.0004532731433793957
BiomedCLIP,race_black_vs_white,Pneumonia,0.5054356398048895,0.505155241405497,0.0002803983993925341
BiomedCLIP,race_black_vs_white,Pneumothorax,0.5107111269981043,0.5110799667923095,-0.0003688397942052113
